,id,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift,target_d
0,44060,FL,M,1158.437751,392.0,430.0,466.0,520.0,21975.0,,100.0
1,96093,IL,M,537.0,365.0,415.0,410.0,473.0,19387.0,5.666666667,7.0
2,43333,FL,F,725.0,301.0,340.0,361.0,436.0,18837.0,4.111111111,5.0
3,21885,NC,M,1158.437751,401.0,407.0,399.0,413.0,14014.0,27.27777778,38.0
4,190108,FL,F,995.0,252.0,280.0,316.0,348.0,17991.0,6.0,5.0
5,100640,,M,764.0,457.0,477.0,480.0,501.0,16022.0,25.57142857,30.0
6,18581,,female,775.0,318.0,364.0,380.0,419.0,13491.0,4.625,12.0
7,119038,,M,890.0,519.0,525.0,551.0,560.0,17872.0,6.175,7.0
8,173223,,F,1158.437751,184.0,206.0,235.0,250.0,8708.0,8.818181818,10.0
9,141720,NV,F,1569.0,673.0,672.0,785.0,781.0,25775.0,13.0,5.0
10,186272,CA,F,3515.0,521.0,565.0,549.0,588.0,20068.0,8.64,10.0
11,154301,Cali,F,1026.0,459.0,470.0,491.0,496.0,13803.0,11.25,10.0
12,189722,AP,Male,0.0,0.0,0.0,0.0,0.0,0.0,5.727272727,6.0
13,73699,MI,F,890.0,463.0,474.0,512.0,523.0,9493.0,11.28571429,15.0
14,31977,FL,F,1513.0,521.0,599.0,615.0,702.0,28124.0,18.5,28.0
15,44336,FL,F,948.0,330.0,365.0,368.0,411.0,17728.0,15.0,15.0
16,127823,,F,258.0,64.0,60.0,93.0,74.0,4236.0,5.45,6.0
17,150739,,U,1951.0,556.0,578.0,619.0,625.0,17208.0,,12.0
18,114721,,F,1040.0,472.0,609.0,,656.0,26962.0,11.66666667,15.0
19,111795,,F,603.0,208.0,264.0,288.0,341.0,12038.0,5.0,5.0
20,64480,,F,526.0,277.0,336.0,317.0,370.0,12826.0,7.142857143,10.0
21,87259,MT,M,717.0,302.0,458.0,349.0,432.0,15614.0,,25.0
22,115823,TX,M,,593.0,588.0,650.0,650.0,17606.0,6.5,15.0
23,95701,IL,M,1063.0,255.0,260.0,312.0,317.0,14023.0,8.372790698,5.0
24,5172,IL,M,291.0,136.0,168.0,180.0,212.0,8370.0,10.61111111,10.0
25,152486,CA,M,1538.0,271.0,317.0,342.0,393.0,15627.0,5.5,5.0
26,153880,WI,F,,244.0,341.0,306.0,392.0,12220.0,12.5,5.0
27,101855,MO,M,,340.0,385.0,365.0,416.0,15336.0,7.857142857,10.0
28,62932,IN,M,,174.0,240.0,201.0,264.0,9704.0,8.0,10.0
29,125930,TX,F,715.0,339.0,378.0,371.0,396.0,12617.0,6.0,7.5
30,173653,HI,F,2346.0,420.0,446.0,468.0,503.0,14552.0,15.5,21.0
31,11011,FL,M,559.0,232.0,270.0,257.0,269.0,10511.0,12.61111111,20.0
32,116894,TX,M,1158.437751,368.0,457.0,450.0,531.0,33797.0,12.25,20.0
33,154245,CA,F,596.0,164.0,168.0,181.0,190.0,5273.0,16.5,15.0
34,134773,UT,M,706.0,362.0,376.0,379.0,394.0,,15.0,25.0
35,26271,GA,F,878.0,310.0,517.0,433.0,588.0,22281.0,10.13333333,16.0
36,180292,WA,F,1275.0,405.0,453.0,500.0,545.0,20971.0,6.6,10.0
37,10145,CA,F,2362.0,613.0,632.0,655.0,678.0,21179.0,8.928571429,5.0
38,133806,ID,U,,226.0,280.0,278.0,357.0,17292.0,20.0,15.0
39,112632,CT,M,2531.0,669.0,730.0,696.0,750.0,21094.0,8.272727273,11.0
