lon,lat,locality,year,month,kingdom,class,family,genus,species
1.60648,50.77092,,1900,1.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria flexicaulis Le Jol.
1.61021,50.76952,,1900,1.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria flexicaulis Le Jol.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,Dorchester,1900,1.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Waialua, oahu",1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,"Waialua, oahu",1900,1.0,Plantae,Ulvophyceae,Codiaceae,Codium,Codium tomentosum Stackh.
-158.125363,21.571408,"Waialua, Oahu, HI",1900,1.0,Plantae,Ulvophyceae,Codiaceae,Codium,Codium tomentosum Stackh.
-158.125363,21.571408,"Waialua, Oahu, HI",1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,"West coast of Whidbey Island, Washington.",1900,1.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata var. mollis
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Nearest Named Place: Trangisvag,1900,2.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
,,Pointe de Primel,1900,3.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata (Huds.) J.V.Lamour.
-158.183,21.4333,Waianae,1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-6.83,61.450001,"Suderø, Vaags Ejde",1900,5.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-70.71666,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-70.71666,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-70.71666,43.075,New Castle,1900,5.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) Kuntze
-6.309274,49.922511,Nearest Named Place: Porthloo,1900,5.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) F.Weber & D.Mohr
-6.313911,49.9128,,1900,5.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata (L.) F.Weber & D.Mohr
,,Waianae,1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-71.298931,41.470907,Ochre Point,1900,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,"Laminaria stenophylla (Harvey) J.Agardh, 1868"
-158.173235,21.450329,Waianae,1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,"Waianae, oahu",1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,[no additional data],1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca var. rigida
-158.186672,21.435846,"Wainae, Oahu, HI",1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-158.117,21.5833,Waialua,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,6.0,Plantae,Florideophyceae,Halymeniaceae,Grateloupia,Grateloupia turuturu Yamada
,,"La Coruña: Sanatorio de Oza (La Coruña), Bahía de La Coruña.",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-7.0,62.18,"Strømø, Kvalvig, Strømstedet",1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-7.0,62.18,"Strømø, Kvalvig, Strømstedet",1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-6.82,61.549999,"Suderø, Trangisvaag",1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
8.42,55.450001,Fanø,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-6.0,62.0,"Strømø, Sundelaget between Hosvik and Hvalvik",1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-6.0,62.0,"Strømø, Sundelaget between Hosvik and Hvalvik",1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
-6.0,61.0,"Suderø, Trangisvaag",1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta (L.) Grev.
,,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-6.83,61.450001,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-6.0,61.0,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
,,"Kalsø, Husum",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.2,62.25,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-6.32,62.279999,Svinø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
,,Myggenæs,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
