lon,lat,locality,year,month,kingdom,class,family,genus,species
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,Dorchester,1900,1.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Waialua, oahu",1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,"Waialua, oahu",1900,1.0,Plantae,Ulvophyceae,Codiaceae,Codium,Codium tomentosum Stackh.
-158.125363,21.571408,"Waialua, Oahu, HI",1900,1.0,Plantae,Ulvophyceae,Codiaceae,Codium,Codium tomentosum Stackh.
-158.125363,21.571408,"Waialua, Oahu, HI",1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,,1900,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-158.183,21.4333,Waianae,1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-6.83,61.450001,"Suderø, Vaags Ejde",1900,5.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-70.71666,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-70.71666,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Waianae,1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-158.173235,21.450329,Waianae,1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,"Waianae, oahu",1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,[no additional data],1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca var. rigida
-158.186672,21.435846,"Wainae, Oahu, HI",1900,5.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-158.117,21.5833,Waialua,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,"La Coruña: Sanatorio de Oza (La Coruña), Bahía de La Coruña.",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-6.83,61.450001,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-6.0,61.0,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
,,"Kalsø, Husum",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.2,62.25,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-6.32,62.279999,Svinø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
,,Myggenæs,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-6.0,62.0,"Kalsø, Husum",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
9.0,55.0,Middelfart,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
11.0,55.0,"Kalundborg, Gisseløre",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
-6.93,61.599998,"Suderø, Kvalbø",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.82,61.549999,"Suderø, Trangisvaag",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Sandø, Sand",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.0,61.0,"Suderø, Trangisvaag, Galgetangen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
10.0,55.0,Røsnæs lighthouse,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Vaagø, Sørvaag",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
,,"Vaagø, Sørvaag",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
,,"Sandø, Sand",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.2,62.25,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
