,song,artist,date,explicit,uri,popularity,ironhacker,links
0,Down The Road,C2C,2012-01-01,False,spotify:track:1SayqEg8HKK2IeIEWjdYxY,57,1183037273,https://open.spotify.com/track/1SayqEg8HKK2IeIEWjdYxY
1,The Pond,Cava Grande,2021-01-29,False,spotify:track:0IyuvVFF4mXGi9viEqaEsI,37,1183037273,https://open.spotify.com/track/0IyuvVFF4mXGi9viEqaEsI
2,Any Way You Want It,Journey,1980,False,spotify:track:71SvEDmsOwIWw1IozsZoMA,76,1182774545,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA
3,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",1996-09-09,False,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,81,11142035356,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ
4,Lost on You,LP,2017-05-05,False,spotify:track:2LIh4uzqq9cXMPzzmcToHl,79,bar63,https://open.spotify.com/track/2LIh4uzqq9cXMPzzmcToHl
5,Clap Your Hands,Whilk & Misky,2014-09-01,False,spotify:track:7DM5k4ql2H94jNn0kN0SaU,62,bar63,https://open.spotify.com/track/7DM5k4ql2H94jNn0kN0SaU
6,Pieces,AVAION,2019-11-15,False,spotify:track:5H95n43z0KFcXGCEc0ewe1,80,bar63,https://open.spotify.com/track/5H95n43z0KFcXGCEc0ewe1
7,Gloria: In Excelsis Deo,Patti Smith,1975,False,spotify:track:272Z4tzaSMMcgrZ0R494S2,55,1164872058,https://open.spotify.com/track/272Z4tzaSMMcgrZ0R494S2
8,Conga Mode - Edit,Melé,2020-07-17,False,spotify:track:5QJwvpgZXdMD9lDtdczCVy,45,bar63,https://open.spotify.com/track/5QJwvpgZXdMD9lDtdczCVy
9,Kalambo - Edit,Bontan,2020-12-04,False,spotify:track:1P18uROhYMOHTJwirzyvWQ,17,bar63,https://open.spotify.com/track/1P18uROhYMOHTJwirzyvWQ
10,Suerte,Raffa Fl,2020-08-15,False,spotify:track:3wAeV5YnVopXm4jynlfJQr,58,bar63,https://open.spotify.com/track/3wAeV5YnVopXm4jynlfJQr
11,Snake,PAX,2019-06-07,False,spotify:track:4JZdi4DSds3oMSYeBUQosp,61,bar63,https://open.spotify.com/track/4JZdi4DSds3oMSYeBUQosp
12,Bon Bini,Shermanology,2020-09-11,False,spotify:track:6ytVMBHu1ZXvaBvufHCBOX,47,bar63,https://open.spotify.com/track/6ytVMBHu1ZXvaBvufHCBOX
13,Ghostface Killers (feat. Travis Scott),"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']",2017-10-30,True,spotify:track:5u6vkDnOyaf8LsteDAj2ub,75,bar63,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub
14,Dance Off (feat. Idris Elba & Anderson .Paak),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Idris Elba', 'Anderson .Paak']",2016-02-26,True,spotify:track:7pDxNYVQLKzrbkCe8OCag3,60,11142035356,https://open.spotify.com/track/7pDxNYVQLKzrbkCe8OCag3
15,Medallo,"['Blessd', 'Justin Quiles', 'Lenny Tavárez']",2021-10-27,True,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,93,bar63,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
16,THE HEARTBREAK v2,Rilès,2021-07-11,False,spotify:track:5xXMHq0eZJSPf9EaZivCoM,51,11142035356,https://open.spotify.com/track/5xXMHq0eZJSPf9EaZivCoM
17,Goodbyes (feat. Young Thug),"['Post Malone', 'Young Thug']",2019-09-06,True,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,82,11142035356,https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C
18,Bun Mi Heart,Mellow Mood,2015-04-07,False,spotify:track:5XFzqvGBZBy7rGvAndj0uJ,45,11142035356,https://open.spotify.com/track/5XFzqvGBZBy7rGvAndj0uJ
19,"Sometimes You're The Hammer, Sometimes You're The Nail",A Day To Remember,2013-10-08,False,spotify:track:53v22kznEYmJ5QCZIPHD9u,61,11142035356,https://open.spotify.com/track/53v22kznEYmJ5QCZIPHD9u
20,Lonely,Palaye Royale,2020-05-29,True,spotify:track:0haXiRi57j2xQo5a3WkzqV,73,11142035356,https://open.spotify.com/track/0haXiRi57j2xQo5a3WkzqV
21,Dreamland,Fox Stevenson,2019-09-06,False,spotify:track:0udIZ5gNmUHGrzaadmP4Wm,48,11142035356,https://open.spotify.com/track/0udIZ5gNmUHGrzaadmP4Wm
22,Lange her,"['CRO', 'Max Herre', 'Teesy']",2015-07-03,False,spotify:track:40UtAXchn1GhZYN5dpWQu7,48,11142035356,https://open.spotify.com/track/40UtAXchn1GhZYN5dpWQu7
23,Getaway - Koven Remix,"['Tritonal', 'Angel Taylor', 'Koven']",2016-07-08,False,spotify:track:10EpXLXKHmNSVKvX7A5hg8,65,11142035356,https://open.spotify.com/track/10EpXLXKHmNSVKvX7A5hg8
24,THE GUILTY PARTY,While She Sleeps,2019-03-01,False,spotify:track:3TBZsSXbRhHQZeZPGjboiS,51,11142035356,https://open.spotify.com/track/3TBZsSXbRhHQZeZPGjboiS
25,Panic Room - Culture Shock Remix,"['Au/Ra', 'Culture Shock']",2018-09-19,False,spotify:track:7yahqANoaeBiBRlMZQacCN,56,11142035356,https://open.spotify.com/track/7yahqANoaeBiBRlMZQacCN
26,It's Alright,The Big Push,2019-03-29,False,spotify:track:5PBcNzOndRqvRHcV7kUxl7,48,11142035356,https://open.spotify.com/track/5PBcNzOndRqvRHcV7kUxl7
27,Civil Isolation,While She Sleeps,2017-04-21,False,spotify:track:4G0xVyaKj7scq78enhzXwC,36,11142035356,https://open.spotify.com/track/4G0xVyaKj7scq78enhzXwC
28,The Rock Show,blink-182,2001,True,spotify:track:2ydUT1pFhuLDnouelIv4WH,72,11142035356,https://open.spotify.com/track/2ydUT1pFhuLDnouelIv4WH
29,Marigold,Periphery,2016-07-22,True,spotify:track:2YZZ8qsDdvC008LgtpMoI6,51,11142035356,https://open.spotify.com/track/2YZZ8qsDdvC008LgtpMoI6
30,I Get Up,The Teskey Brothers,2018-10-26,False,spotify:track:2ySCTopr9tZ5qdz6MkrdjH,49,11142035356,https://open.spotify.com/track/2ySCTopr9tZ5qdz6MkrdjH
31,Cut You Off,Smash Into Pieces,2021-07-02,False,spotify:track:2zFDvvxpjhOeueR1iapU9w,41,11142035356,https://open.spotify.com/track/2zFDvvxpjhOeueR1iapU9w
32,Wrecked,Imagine Dragons,2021-07-02,False,spotify:track:2d1MywHy6FwKdzxFuSJnwl,79,11142035356,https://open.spotify.com/track/2d1MywHy6FwKdzxFuSJnwl
33,Migraine,Twenty One Pilots,2013-01-08,False,spotify:track:4rfaoyaZvNa60cj3OKSQV9,71,11142035356,https://open.spotify.com/track/4rfaoyaZvNa60cj3OKSQV9
34,The Worst,Polyphia,2017-07-14,False,spotify:track:5l3WNlq4rag0fFP0TI9qeJ,56,11142035356,https://open.spotify.com/track/5l3WNlq4rag0fFP0TI9qeJ
35,Overnight,Parcels,2017-06-21,False,spotify:track:1kgws2l8gsvDhtsVyzWbu9,0,11142035356,https://open.spotify.com/track/1kgws2l8gsvDhtsVyzWbu9
36,Gemini,Thank You Scientist,2011-01-07,False,spotify:track:2LQjDAhUMqIWsje7Gk7suZ,28,11142035356,https://open.spotify.com/track/2LQjDAhUMqIWsje7Gk7suZ
37,Super Duper Love,Joss Stone,2003-01-01,False,spotify:track:30yn7KuCLbXGCXxjsB0C8K,67,11142035356,https://open.spotify.com/track/30yn7KuCLbXGCXxjsB0C8K
38,Not For Want Of Trying,Maybeshewill,2008,False,spotify:track:3q6h93qVhlvIycGOBYmAxO,44,11142035356,https://open.spotify.com/track/3q6h93qVhlvIycGOBYmAxO
39,Two Shoes,The Cat Empire,2005-08-29,False,spotify:track:57LP4yVIIBkRLWbq0ETF4K,55,11142035356,https://open.spotify.com/track/57LP4yVIIBkRLWbq0ETF4K
40,Chaos,Mutemath,2019-12-20,False,spotify:track:7oSS6aLPNVj1cnE9sc8FmI,19,11142035356,https://open.spotify.com/track/7oSS6aLPNVj1cnE9sc8FmI
