,song,artist,date,explicit,uri,popularity,ironhacker
0,Down The Road,C2C,2012-01-01,False,spotify:track:1SayqEg8HKK2IeIEWjdYxY,57,1183037273
1,The Pond,Cava Grande,2021-01-29,False,spotify:track:0IyuvVFF4mXGi9viEqaEsI,37,1183037273
2,Any Way You Want It,Journey,1980,False,spotify:track:71SvEDmsOwIWw1IozsZoMA,76,1182774545
3,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",1996-09-09,False,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,81,11142035356
4,Lost on You,LP,2017-05-05,False,spotify:track:2LIh4uzqq9cXMPzzmcToHl,79,bar63
5,Clap Your Hands,Whilk & Misky,2014-09-01,False,spotify:track:7DM5k4ql2H94jNn0kN0SaU,62,bar63
6,Pieces,AVAION,2019-11-15,False,spotify:track:5H95n43z0KFcXGCEc0ewe1,80,bar63
7,Gloria: In Excelsis Deo,Patti Smith,1975,False,spotify:track:272Z4tzaSMMcgrZ0R494S2,55,1164872058
8,Conga Mode - Edit,Melé,2020-07-17,False,spotify:track:5QJwvpgZXdMD9lDtdczCVy,45,bar63
9,Kalambo - Edit,Bontan,2020-12-04,False,spotify:track:1P18uROhYMOHTJwirzyvWQ,17,bar63
10,Suerte,Raffa Fl,2020-08-15,False,spotify:track:3wAeV5YnVopXm4jynlfJQr,58,bar63
11,Snake,PAX,2019-06-07,False,spotify:track:4JZdi4DSds3oMSYeBUQosp,61,bar63
12,Bon Bini,Shermanology,2020-09-11,False,spotify:track:6ytVMBHu1ZXvaBvufHCBOX,47,bar63
13,Ghostface Killers (feat. Travis Scott),"['21 Savage', 'Offset', 'Metro Boomin', 'Travis Scott']",2017-10-30,True,spotify:track:5u6vkDnOyaf8LsteDAj2ub,75,bar63
14,Dance Off (feat. Idris Elba & Anderson .Paak),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Idris Elba', 'Anderson .Paak']",2016-02-26,True,spotify:track:7pDxNYVQLKzrbkCe8OCag3,60,11142035356
15,Medallo,"['Blessd', 'Justin Quiles', 'Lenny Tavárez']",2021-10-27,True,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,93,bar63
16,THE HEARTBREAK v2,Rilès,2021-07-11,False,spotify:track:5xXMHq0eZJSPf9EaZivCoM,51,11142035356
