,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,ic5,avggift
0,FL,M,1158.437751,392.0,430.0,466.0,520.0,21975.0,10.0
1,IL,M,537.0,365.0,415.0,410.0,473.0,19387.0,5.666666667
2,FL,F,725.0,301.0,340.0,361.0,436.0,18837.0,4.111111111
3,NC,M,1158.437751,401.0,407.0,399.0,413.0,14014.0,10.0
4,FL,F,995.0,252.0,280.0,316.0,348.0,17991.0,6.0
5,NV,F,1569.0,312.0,672.0,357.0,402.0,25775.0,13.0
6,CA,F,1026.0,459.0,470.0,491.0,496.0,13803.0,11.25
7,MI,F,890.0,463.0,474.0,512.0,523.0,9493.0,11.28571429
8,FL,F,1513.0,521.0,599.0,615.0,702.0,14056.0,18.5
9,FL,F,948.0,330.0,365.0,368.0,411.0,17728.0,15.0
10,IL,M,1063.0,255.0,260.0,312.0,317.0,14023.0,8.372790698
11,IL,M,291.0,136.0,168.0,180.0,212.0,8370.0,10.61111111
12,CA,M,1538.0,271.0,317.0,342.0,393.0,15627.0,5.5
13,TX,F,715.0,339.0,378.0,371.0,396.0,12617.0,6.0
14,FL,M,559.0,232.0,270.0,257.0,269.0,10511.0,12.61111111
15,TX,M,1158.437751,368.0,457.0,450.0,531.0,14056.0,12.25
16,CA,F,596.0,164.0,168.0,181.0,190.0,5273.0,16.5
17,GA,F,878.0,310.0,517.0,433.0,588.0,22281.0,10.13333333
18,WA,F,1275.0,405.0,453.0,500.0,545.0,20971.0,6.6
19,CA,F,770.0,613.0,632.0,655.0,678.0,21179.0,8.928571429
20,CA,F,2089.0,275.0,296.0,322.0,356.0,10484.0,7.125
21,AL,F,765.0,408.0,430.0,357.0,472.0,15150.0,10.0
22,TX,M,1458.0,299.0,354.0,356.0,446.0,19185.0,6.181818182
23,CA,F,1590.0,240.0,238.0,262.0,257.0,7559.0,13.5
24,IL,F,613.0,212.0,245.0,294.0,355.0,11792.0,11.83333333
25,SC,F,477.0,256.0,282.0,292.0,316.0,10621.0,5.875
26,IA,F,424.0,192.0,256.0,230.0,256.0,9497.0,4.863636364
27,CO,M,383.0,312.0,256.0,359.0,380.0,14045.0,13.82352941
28,TX,M,688.0,422.0,466.0,457.0,490.0,16561.0,11.06666667
29,CA,F,770.0,280.0,353.0,328.0,373.0,12935.0,9.260869565
30,FL,F,625.0,246.0,466.0,362.0,536.0,19102.0,14.09090909
31,CA,M,1560.0,500.0,488.0,487.0,485.0,13816.0,15.0
32,NC,F,716.0,146.0,339.0,227.0,382.0,11136.0,12.47826087
33,TX,F,1247.0,215.0,313.0,350.0,444.0,16891.0,10.0
34,LA,M,611.0,265.0,323.0,302.0,337.0,12313.0,15.0
35,CA,F,1431.0,291.0,390.0,315.0,376.0,10498.0,13.0
36,LA,F,1089.0,431.0,520.0,357.0,538.0,16777.0,5.2
37,IA,F,435.0,244.0,298.0,281.0,329.0,10692.0,10.0
38,CA,F,1409.0,321.0,405.0,377.0,428.0,15611.0,12.66666667
39,OR,M,647.0,369.0,422.0,401.0,463.0,18492.0,9.5
40,NC,M,415.0,199.0,308.0,242.0,300.0,11449.0,8.333333333
41,IL,F,492.0,172.0,384.0,276.0,399.0,13218.0,8.75
42,TX,M,1043.0,610.0,682.0,357.0,402.0,14056.0,13.25
43,IL,F,192.0,164.0,211.0,186.0,224.0,7361.0,5.866666667
44,WA,M,824.0,225.0,308.0,293.0,383.0,13090.0,7.483333333
45,AL,F,417.0,122.0,283.0,160.0,250.0,9715.0,7.75
