,date,Avg_anomalies
0,1880-01-31,-0.29
1,1880-02-29,-0.18
2,1880-03-31,-0.11
3,1880-04-30,-0.2
4,1880-05-31,-0.12
5,1880-06-30,-0.23
6,1880-07-31,-0.21
7,1880-08-31,-0.09
8,1880-09-30,-0.16
9,1880-10-31,-0.23
10,1880-11-30,-0.2
11,1880-12-31,-0.23
12,1881-01-31,-0.16
13,1881-02-28,-0.17
14,1881-03-31,0.04
15,1881-04-30,0.04
16,1881-05-31,0.02
17,1881-06-30,-0.2
18,1881-07-31,-0.07
19,1881-08-31,-0.03
20,1881-09-30,-0.14
21,1881-10-31,-0.21
22,1881-11-30,-0.22
23,1881-12-31,-0.11
24,1882-01-31,0.14
25,1882-02-28,0.15
26,1882-03-31,0.03
27,1882-04-30,-0.19
28,1882-05-31,-0.16
29,1882-06-30,-0.26
30,1882-07-31,-0.21
31,1882-08-31,-0.06
32,1882-09-30,-0.1
33,1882-10-31,-0.25
34,1882-11-30,-0.16
35,1882-12-31,-0.25
36,1883-01-31,-0.32
37,1883-02-28,-0.39
38,1883-03-31,-0.13
39,1883-04-30,-0.17
40,1883-05-31,-0.2
41,1883-06-30,-0.13
42,1883-07-31,-0.08
43,1883-08-31,-0.15
44,1883-09-30,-0.21
45,1883-10-31,-0.14
46,1883-11-30,-0.22
47,1883-12-31,-0.16
48,1884-01-31,-0.16
49,1884-02-29,-0.08
50,1884-03-31,-0.37
51,1884-04-30,-0.43
52,1884-05-31,-0.37
53,1884-06-30,-0.41
54,1884-07-31,-0.35
55,1884-08-31,-0.26
56,1884-09-30,-0.27
57,1884-10-31,-0.24
58,1884-11-30,-0.3
59,1884-12-31,-0.29
60,1885-01-31,-0.59
61,1885-02-28,-0.3
62,1885-03-31,-0.25
63,1885-04-30,-0.42
64,1885-05-31,-0.42
65,1885-06-30,-0.44
66,1885-07-31,-0.36
67,1885-08-31,-0.32
68,1885-09-30,-0.24
69,1885-10-31,-0.19
70,1885-11-30,-0.2
71,1885-12-31,-0.05
72,1886-01-31,-0.42
73,1886-02-28,-0.45
74,1886-03-31,-0.39
75,1886-04-30,-0.28
76,1886-05-31,-0.26
77,1886-06-30,-0.39
78,1886-07-31,-0.22
79,1886-08-31,-0.34
80,1886-09-30,-0.26
81,1886-10-31,-0.29
82,1886-11-30,-0.31
83,1886-12-31,-0.27
84,1887-01-31,-0.73
85,1887-02-28,-0.52
86,1887-03-31,-0.34
87,1887-04-30,-0.39
88,1887-05-31,-0.32
89,1887-06-30,-0.24
90,1887-07-31,-0.23
91,1887-08-31,-0.32
92,1887-09-30,-0.23
93,1887-10-31,-0.33
94,1887-11-30,-0.23
95,1887-12-31,-0.34
96,1888-01-31,-0.38
97,1888-02-29,-0.36
98,1888-03-31,-0.41
99,1888-04-30,-0.22
100,1888-05-31,-0.22
101,1888-06-30,-0.18
102,1888-07-31,-0.09
103,1888-08-31,-0.16
104,1888-09-30,-0.1
105,1888-10-31,0.02
106,1888-11-30,0.01
107,1888-12-31,-0.06
108,1889-01-31,-0.11
109,1889-02-28,0.19
110,1889-03-31,0.08
111,1889-04-30,0.07
112,1889-05-31,-0.02
113,1889-06-30,-0.14
114,1889-07-31,-0.1
115,1889-08-31,-0.2
116,1889-09-30,-0.22
117,1889-10-31,-0.22
118,1889-11-30,-0.33
119,1889-12-31,-0.3
120,1890-01-31,-0.44
121,1890-02-28,-0.45
122,1890-03-31,-0.4
123,1890-04-30,-0.37
124,1890-05-31,-0.45
125,1890-06-30,-0.27
126,1890-07-31,-0.27
127,1890-08-31,-0.38
128,1890-09-30,-0.39
129,1890-10-31,-0.24
130,1890-11-30,-0.48
131,1890-12-31,-0.31
132,1891-01-31,-0.42
133,1891-02-28,-0.47
134,1891-03-31,-0.19
135,1891-04-30,-0.28
136,1891-05-31,-0.18
137,1891-06-30,-0.2
138,1891-07-31,-0.2
139,1891-08-31,-0.16
140,1891-09-30,-0.14
141,1891-10-31,-0.21
142,1891-11-30,-0.35
143,1891-12-31,-0.04
144,1892-01-31,-0.28
145,1892-02-29,-0.12
146,1892-03-31,-0.35
147,1892-04-30,-0.35
148,1892-05-31,-0.25
149,1892-06-30,-0.23
150,1892-07-31,-0.32
151,1892-08-31,-0.25
152,1892-09-30,-0.13
153,1892-10-31,-0.13
154,1892-11-30,-0.42
155,1892-12-31,-0.39
156,1893-01-31,-0.8
157,1893-02-28,-0.54
158,1893-03-31,-0.23
159,1893-04-30,-0.3
160,1893-05-31,-0.36
161,1893-06-30,-0.29
162,1893-07-31,-0.16
163,1893-08-31,-0.27
164,1893-09-30,-0.2
165,1893-10-31,-0.17
166,1893-11-30,-0.17
167,1893-12-31,-0.35
168,1894-01-31,-0.54
169,1894-02-28,-0.33
170,1894-03-31,-0.25
171,1894-04-30,-0.48
172,1894-05-31,-0.35
173,1894-06-30,-0.44
174,1894-07-31,-0.26
175,1894-08-31,-0.22
176,1894-09-30,-0.25
177,1894-10-31,-0.21
178,1894-11-30,-0.25
179,1894-12-31,-0.2
180,1895-01-31,-0.44
181,1895-02-28,-0.42
182,1895-03-31,-0.29
183,1895-04-30,-0.25
184,1895-05-31,-0.27
185,1895-06-30,-0.24
186,1895-07-31,-0.18
187,1895-08-31,-0.16
188,1895-09-30,-0.09
189,1895-10-31,-0.08
190,1895-11-30,-0.15
191,1895-12-31,-0.16
192,1896-01-31,-0.26
193,1896-02-29,-0.14
194,1896-03-31,-0.26
195,1896-04-30,-0.31
196,1896-05-31,-0.18
197,1896-06-30,-0.14
198,1896-07-31,-0.04
199,1896-08-31,-0.04
200,1896-09-30,-0.03
201,1896-10-31,0.11
202,1896-11-30,-0.08
203,1896-12-31,-0.04
204,1897-01-31,-0.15
205,1897-02-28,-0.15
206,1897-03-31,-0.14
207,1897-04-30,-0.02
208,1897-05-31,-0.05
209,1897-06-30,-0.16
210,1897-07-31,-0.07
211,1897-08-31,-0.11
212,1897-09-30,-0.08
213,1897-10-31,-0.12
214,1897-11-30,-0.19
215,1897-12-31,-0.19
216,1898-01-31,-0.03
217,1898-02-28,-0.3
218,1898-03-31,-0.52
219,1898-04-30,-0.33
220,1898-05-31,-0.32
221,1898-06-30,-0.21
222,1898-07-31,-0.24
223,1898-08-31,-0.25
224,1898-09-30,-0.22
225,1898-10-31,-0.33
226,1898-11-30,-0.38
227,1898-12-31,-0.25
228,1899-01-31,-0.19
229,1899-02-28,-0.4
230,1899-03-31,-0.34
231,1899-04-30,-0.21
232,1899-05-31,-0.23
233,1899-06-30,-0.33
234,1899-07-31,-0.18
235,1899-08-31,-0.07
236,1899-09-30,-0.03
237,1899-10-31,-0.05
238,1899-11-30,0.12
239,1899-12-31,-0.28
240,1900-01-31,-0.37
241,1900-02-28,-0.03
242,1900-03-31,0.01
243,1900-04-30,-0.12
244,1900-05-31,-0.1
245,1900-06-30,-0.13
246,1900-07-31,-0.13
247,1900-08-31,-0.1
248,1900-09-30,-0.05
249,1900-10-31,0.09
250,1900-11-30,-0.1
251,1900-12-31,-0.07
252,1901-01-31,-0.24
253,1901-02-28,-0.04
254,1901-03-31,0.08
255,1901-04-30,-0.04
256,1901-05-31,-0.17
257,1901-06-30,-0.13
258,1901-07-31,-0.16
259,1901-08-31,-0.2
260,1901-09-30,-0.22
261,1901-10-31,-0.31
262,1901-11-30,-0.17
263,1901-12-31,-0.28
264,1902-01-31,-0.2
265,1902-02-28,-0.03
266,1902-03-31,-0.29
267,1902-04-30,-0.3
268,1902-05-31,-0.35
269,1902-06-30,-0.35
