,DATE,AvgTemp
0,1/1/2014,40.0
1,1/2/2014,43.0
2,1/3/2014,41.0
3,1/4/2014,37.0
4,1/5/2014,31.0
5,1/6/2014,31.0
6,1/7/2014,37.0
7,1/8/2014,36.0
8,1/9/2014,36.0
9,1/10/2014,39.0
10,1/11/2014,40.0
11,1/12/2014,39.0
12,1/13/2014,36.0
13,1/14/2014,39.0
14,1/15/2014,43.0
15,1/16/2014,45.0
16,1/17/2014,50.0
17,1/18/2014,46.0
18,1/19/2014,44.0
19,1/20/2014,45.0
20,1/21/2014,48.0
21,1/22/2014,38.0
22,1/23/2014,39.0
23,1/24/2014,47.0
24,1/25/2014,52.0
25,1/26/2014,50.0
26,1/27/2014,45.0
27,1/28/2014,34.0
28,1/29/2014,33.0
29,1/30/2014,34.0
30,1/31/2014,38.0
31,2/1/2014,43.0
32,2/2/2014,43.0
33,2/3/2014,43.0
34,2/4/2014,46.0
35,2/5/2014,46.0
36,2/6/2014,44.0
37,2/7/2014,46.0
38,2/8/2014,45.0
39,2/9/2014,46.0
40,2/10/2014,45.0
41,2/11/2014,43.0
42,2/12/2014,44.0
43,2/13/2014,42.0
44,2/14/2014,42.0
45,2/15/2014,47.0
46,2/16/2014,41.0
47,2/17/2014,40.0
48,2/18/2014,41.0
49,2/19/2014,41.0
50,2/20/2014,40.0
51,2/21/2014,41.0
52,2/22/2014,41.0
53,2/23/2014,41.0
54,2/24/2014,42.0
55,2/25/2014,40.0
56,2/26/2014,43.0
57,2/27/2014,46.0
58,2/28/2014,47.0
59,3/1/2014,48.0
60,3/2/2014,38.0
61,3/3/2014,37.0
62,3/4/2014,39.0
63,3/5/2014,40.0
64,3/6/2014,41.0
65,3/7/2014,44.0
66,3/8/2014,39.0
67,3/9/2014,42.0
68,3/10/2014,40.0
69,3/11/2014,40.0
70,3/12/2014,40.0
71,3/13/2014,44.0
72,3/14/2014,44.0
73,3/15/2014,40.0
74,3/16/2014,40.0
75,3/17/2014,45.0
76,3/18/2014,44.0
77,3/19/2014,44.0
78,3/20/2014,41.0
79,3/21/2014,39.0
80,3/22/2014,37.0
81,3/23/2014,39.0
82,3/24/2014,41.0
83,3/25/2014,44.0
84,3/26/2014,45.0
85,3/27/2014,39.0
86,3/28/2014,36.0
87,3/29/2014,36.0
88,3/30/2014,37.0
89,3/31/2014,37.0
90,4/1/2014,40.0
91,4/2/2014,43.0
92,4/3/2014,44.0
93,4/4/2014,41.0
94,4/5/2014,41.0
95,4/6/2014,42.0
96,4/7/2014,42.0
97,4/8/2014,44.0
98,4/9/2014,45.0
99,4/10/2014,45.0
100,4/11/2014,47.0
101,4/12/2014,44.0
102,4/13/2014,41.0
103,4/14/2014,41.0
104,4/15/2014,45.0
105,4/16/2014,50.0
106,4/17/2014,50.0
107,4/18/2014,52.0
108,4/19/2014,52.0
109,4/20/2014,49.0
110,4/21/2014,47.0
111,4/22/2014,48.0
112,4/23/2014,50.0
113,4/24/2014,50.0
114,4/25/2014,51.0
115,4/26/2014,54.0
116,4/27/2014,48.0
117,4/28/2014,47.0
118,4/29/2014,46.0
119,4/30/2014,44.0
120,5/1/2014,45.0
121,5/2/2014,45.0
122,5/3/2014,46.0
123,5/4/2014,46.0
124,5/5/2014,47.0
125,5/6/2014,49.0
126,5/7/2014,51.0
127,5/8/2014,52.0
128,5/9/2014,52.0
129,5/10/2014,49.0
130,5/11/2014,48.0
131,5/12/2014,47.0
132,5/13/2014,47.0
133,5/14/2014,48.0
134,5/15/2014,50.0
135,5/16/2014,52.0
136,5/17/2014,
137,5/18/2014,52.0
138,5/19/2014,52.0
139,5/20/2014,53.0
140,5/21/2014,55.0
141,5/22/2014,52.0
142,5/23/2014,50.0
143,5/24/2014,48.0
144,5/25/2014,45.0
145,5/26/2014,42.0
146,5/27/2014,42.0
147,5/28/2014,43.0
148,5/29/2014,44.0
149,5/30/2014,46.0
150,5/31/2014,43.0
151,6/1/2014,44.0
152,6/2/2014,42.0
153,6/3/2014,46.0
154,6/4/2014,45.0
155,6/5/2014,48.0
156,6/6/2014,44.0
157,6/7/2014,45.0
158,6/8/2014,48.0
159,6/9/2014,51.0
160,6/10/2014,52.0
161,6/11/2014,49.0
162,6/12/2014,45.0
163,6/13/2014,46.0
164,6/14/2014,50.0
165,6/15/2014,51.0
166,6/16/2014,50.0
167,6/17/2014,45.0
168,6/18/2014,44.0
169,6/19/2014,49.0
170,6/20/2014,46.0
171,6/21/2014,42.0
172,6/22/2014,45.0
173,6/23/2014,51.0
174,6/24/2014,51.0
175,6/25/2014,54.0
176,6/26/2014,56.0
177,6/27/2014,54.0
178,6/28/2014,53.0
