,song,artist,date,explicit,uri,popularity,ironhacker,links,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,Down The Road,C2C,2012-01-01,False,spotify:track:1SayqEg8HKK2IeIEWjdYxY,51,Ana,https://open.spotify.com/track/1SayqEg8HKK2IeIEWjdYxY,0.72,0.595,2,-6.109,0,0.0976,0.0672,4.73e-05,0.0775,0.486,111.0,audio_features,1SayqEg8HKK2IeIEWjdYxY,https://api.spotify.com/v1/tracks/1SayqEg8HKK2IeIEWjdYxY,https://api.spotify.com/v1/audio-analysis/1SayqEg8HKK2IeIEWjdYxY,207187,4
1,The Pond,Cava Grande,2021-01-29,False,spotify:track:0IyuvVFF4mXGi9viEqaEsI,34,Ana,https://open.spotify.com/track/0IyuvVFF4mXGi9viEqaEsI,0.714,0.618,9,-10.613,0,0.0425,0.296,0.865,0.135,0.549,121.984,audio_features,0IyuvVFF4mXGi9viEqaEsI,https://api.spotify.com/v1/tracks/0IyuvVFF4mXGi9viEqaEsI,https://api.spotify.com/v1/audio-analysis/0IyuvVFF4mXGi9viEqaEsI,321639,4
2,Any Way You Want It,Journey,1980,False,spotify:track:71SvEDmsOwIWw1IozsZoMA,71,JeanCha,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,audio_features,71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/tracks/71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/audio-analysis/71SvEDmsOwIWw1IozsZoMA,201693,4
3,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",1996-09-09,False,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,75,Edu,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,audio_features,6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600,4
4,Lost on You,LP,2017-05-05,False,spotify:track:2LIh4uzqq9cXMPzzmcToHl,74,Antonio,https://open.spotify.com/track/2LIh4uzqq9cXMPzzmcToHl,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,audio_features,2LIh4uzqq9cXMPzzmcToHl,https://api.spotify.com/v1/tracks/2LIh4uzqq9cXMPzzmcToHl,https://api.spotify.com/v1/audio-analysis/2LIh4uzqq9cXMPzzmcToHl,268105,4
5,Clap Your Hands,Whilk & Misky,2014-09-01,False,spotify:track:7DM5k4ql2H94jNn0kN0SaU,56,Antonio,https://open.spotify.com/track/7DM5k4ql2H94jNn0kN0SaU,0.823,0.638,4,-11.364,0,0.055,0.232,0.211,0.0961,0.382,117.984,audio_features,7DM5k4ql2H94jNn0kN0SaU,https://api.spotify.com/v1/tracks/7DM5k4ql2H94jNn0kN0SaU,https://api.spotify.com/v1/audio-analysis/7DM5k4ql2H94jNn0kN0SaU,305532,4
6,Pieces,AVAION,2019-11-15,False,spotify:track:5H95n43z0KFcXGCEc0ewe1,72,Antonio,https://open.spotify.com/track/5H95n43z0KFcXGCEc0ewe1,0.7,0.271,4,-13.316,1,0.062,0.872,0.322,0.1,0.198,120.015,audio_features,5H95n43z0KFcXGCEc0ewe1,https://api.spotify.com/v1/tracks/5H95n43z0KFcXGCEc0ewe1,https://api.spotify.com/v1/audio-analysis/5H95n43z0KFcXGCEc0ewe1,196413,4
7,Gloria: In Excelsis Deo,Patti Smith,1975,False,spotify:track:272Z4tzaSMMcgrZ0R494S2,50,Miguel,https://open.spotify.com/track/272Z4tzaSMMcgrZ0R494S2,0.422,0.814,9,-7.365,1,0.195,0.118,5.3e-06,0.115,0.411,147.065,audio_features,272Z4tzaSMMcgrZ0R494S2,https://api.spotify.com/v1/tracks/272Z4tzaSMMcgrZ0R494S2,https://api.spotify.com/v1/audio-analysis/272Z4tzaSMMcgrZ0R494S2,354320,4
8,Conga Mode - Edit,Melé,2020-07-17,False,spotify:track:5QJwvpgZXdMD9lDtdczCVy,40,Antonio,https://open.spotify.com/track/5QJwvpgZXdMD9lDtdczCVy,0.756,0.868,10,-7.485,0,0.0458,0.0225,0.858,0.113,0.187,126.012,audio_features,5QJwvpgZXdMD9lDtdczCVy,https://api.spotify.com/v1/tracks/5QJwvpgZXdMD9lDtdczCVy,https://api.spotify.com/v1/audio-analysis/5QJwvpgZXdMD9lDtdczCVy,224762,4
9,Kalambo - Edit,Bontan,2020-12-04,False,spotify:track:1P18uROhYMOHTJwirzyvWQ,12,Antonio,https://open.spotify.com/track/1P18uROhYMOHTJwirzyvWQ,0.674,0.771,10,-10.166,0,0.0365,0.00283,0.41,0.0777,0.11,123.019,audio_features,1P18uROhYMOHTJwirzyvWQ,https://api.spotify.com/v1/tracks/1P18uROhYMOHTJwirzyvWQ,https://api.spotify.com/v1/audio-analysis/1P18uROhYMOHTJwirzyvWQ,204878,4
