,song,artist,date,explicit,uri,popularity,ironhacker,links,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,artist2,letras
0,Down The Road,C2C,2012-01-01,False,spotify:track:1SayqEg8HKK2IeIEWjdYxY,51,Ana,https://open.spotify.com/track/1SayqEg8HKK2IeIEWjdYxY,0.72,0.595,2,-6.109,0,0.0976,0.0672,4.73e-05,0.0775,0.486,111.0,audio_features,1SayqEg8HKK2IeIEWjdYxY,https://api.spotify.com/v1/tracks/1SayqEg8HKK2IeIEWjdYxY,https://api.spotify.com/v1/audio-analysis/1SayqEg8HKK2IeIEWjdYxY,207187,4,C2C,"[Intro]Oh, oh, ohWoah woah woahMhmHave no place to goHave no place to goDarlingHave no place to goHave no place to goGoodbye babyYes I’m goingAh hahYes I’m goingGoodbye babyYes I’m goingAh hahYes I’m goingHave no place to goHave no place to goDarlingHave no place to goHave no place to goDarlingGoodbye babyYes I’m goingAh hahYes I’m goingGoodbye babyYes I’m goingAh hahYes I’m goingDown the road I goDown the road I goDown the road I goDown the road I goDarlingHave no place to goHave no place to goDarlingHave no place to goHave no place to goDarlingHave no place to goHave no place to goDarlingHave no place to goHave no place to goDarling"
2,Any Way You Want It,Journey,1980,False,spotify:track:71SvEDmsOwIWw1IozsZoMA,71,JeanCha,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,audio_features,71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/tracks/71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/audio-analysis/71SvEDmsOwIWw1IozsZoMA,201693,4,Journey,"[Intro]Any way you want itThat's the way you need itAny way you want it[Verse 1]She loves to laughShe loves to singShe does everythingShe loves to moveShe loves to grooveShe loves the loving things[Pre-Chorus]Ooh, all nightAll nightOh, every nightSo hold tightHold tightOoh, baby, hold tightOh, she said[Chorus]Any way you want itThat's the way you need itAny way you want itShe said, Any way you want itThat's the way you need itAny way you want it[Verse 2]I was aloneI never knewWhat good love could doOoh, then we touchedThen we sangAbout the loving things[Pre-Chorus]Ooh, all nightAll nightOh, every nightSo hold tightHold tightOoh baby, hold tightOh, she said"
3,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",1996-09-09,False,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,75,Edu,https://open.spotify.com/track/6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,audio_features,6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600,4,Blackstreet,"[Intro]YeahYou know what?I like the playettesNo diggity, no doubt, uhPlay on, playettePlay on, playetteYo, Dre, drop the verse[Verse 1: Dr. Dre]It's going down, fade to BlackstreetThe homies got at me, collab' creations bump like acneNo doubt, I put it down, never slouchAs long as my credit can vouch, a dog couldn't catch me **** outTell me who can stop when Dre makin' movesAttracting honeys like a magnetGiving 'em eargasms with my mellow accentStill moving this flavorWith the homies Blackstreet and TeddyThe original rump shakers[Verse 2: Teddy Riley]Shorty get down, good LordBaby got 'em open all over townStrictly biz, she don't play aroundCover much grounds, got game by the poundGetting paid is her forteEach and every day, true player wayI can't get her out of my mind (Wow)I think about the girl all the time (Wow-wow)East side to the west sidePushin' phat rides, it's no surpriseShe got tricks in the stash, stacking up the cashFast when it comes to the gasBy no means averageShe's on when she's got to have itBaby, you're a perfect ten, I wanna get inCan I get down so I can win?[Chorus: Teddy Riley & Chauncey ""Black"" Hannibal]I like the way you work itNo diggity, I got to bag it up (Bag it up)I like the way you work itNo diggity, I got to bag it up (Bag it up, girl)I like the way you work itNo diggity, I got to bag it up (Bag it up)I like the way you work itNo diggity, I got to bag it up (Get up)"
4,Lost on You,LP,2017-05-05,False,spotify:track:2LIh4uzqq9cXMPzzmcToHl,74,Antonio,https://open.spotify.com/track/2LIh4uzqq9cXMPzzmcToHl,0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,audio_features,2LIh4uzqq9cXMPzzmcToHl,https://api.spotify.com/v1/tracks/2LIh4uzqq9cXMPzzmcToHl,https://api.spotify.com/v1/audio-analysis/2LIh4uzqq9cXMPzzmcToHl,268105,4,LP,"[Verse 1]When you get older, plainer, sanerWill you remember all the dangerWe came from?Burnin' like embers, falling tenderLong before the days of no surrender years agoAnd well you know?[Pre-Chorus 1]So smoke 'em if you got 'em'cause it's going downAll I ever wanted was youI'll never get to heaven'cause I don't know how[Chorus]Let's raise a glass or twoTo all the things I've lost on you, oh-ohTell me are they lost on you? Oh-ohJust that you could cut me loose, oh-ohAfter everything I've lost on youIs that lost on you?Oh-oh-oh-oh-oh, oh, oh-ohOh-oh-oh-oh-ohIs that lost on you?Oh-oh-oh-oh-oh, oh, oh-ohBaby, is that lost on you?Is that lost on you?[Verse 2]Wish that I could see the machinationsUnderstand the toil of expectations in your mindHold me like you never lost your patienceTell me that you love me more than hate meAll the timeAnd you're still mine[Pre-Chorus]So smoke 'em if you got 'em'cause it's going downAll I ever wanted was youLet's take a drink of heavenThis can turn around"
5,Clap Your Hands,Whilk & Misky,2014-09-01,False,spotify:track:7DM5k4ql2H94jNn0kN0SaU,56,Antonio,https://open.spotify.com/track/7DM5k4ql2H94jNn0kN0SaU,0.823,0.638,4,-11.364,0,0.055,0.232,0.211,0.0961,0.382,117.984,audio_features,7DM5k4ql2H94jNn0kN0SaU,https://api.spotify.com/v1/tracks/7DM5k4ql2H94jNn0kN0SaU,https://api.spotify.com/v1/audio-analysis/7DM5k4ql2H94jNn0kN0SaU,305532,4,Whilk and Misky,"[Verse 1]So clap your handsFeel the beat as you start to danceHear the rhythm as you take your stanceFeel the love and romance, mmmmAnd stomp your feetEverybody just bounce to the beatsTaste that rhythm they hold so sweetFeel the love as we dance, mmmm[Verse 2]So clap your handsSteal the moment as you shake and pranceFeel that lovin' as you twist and danceMake the most of this chance, mmmmAnd stomp your feetFeel the thump of the ground underneathSteal the heart of the sound and the beatFeel the love and romance, mmmm[Verse 3]Feelin', feelin' dreamyAs I float along the wavesAnd I'm smilin' at these dreams againYeah, I'm feelin' these dreamsFeel these dreams again, takin' holdPut myself in your controlLose all feels, lose yourselfTo the moment, to no one elseTrust me now, let it outFree your soul, you know howIn the dark or in the lightWe merge our hearts, day or night"
6,Pieces,AVAION,2019-11-15,False,spotify:track:5H95n43z0KFcXGCEc0ewe1,72,Antonio,https://open.spotify.com/track/5H95n43z0KFcXGCEc0ewe1,0.7,0.271,4,-13.316,1,0.062,0.872,0.322,0.1,0.198,120.015,audio_features,5H95n43z0KFcXGCEc0ewe1,https://api.spotify.com/v1/tracks/5H95n43z0KFcXGCEc0ewe1,https://api.spotify.com/v1/audio-analysis/5H95n43z0KFcXGCEc0ewe1,196413,4,AVAION,"[Verse 1]I'll be falling downYou be watching by my side, by my sideI just need a helping handI just need you in my life, in my lifeClouds keep turnin' blackBaby, please just call me backYou keep living in my mindFeel your soul inside, yeah, inside[Chorus]Falling into pieces, I'm so aloneFalling into pieces, I'm so aloneI'm so—[Post-Chorus]I'm so—Falling into pieces, I'm so aloneFalling into pieces, I'm so aloneI'm so—Falling into pieces, I'm so aloneFalling into pieces, I'm so alone[Verse 2]Clouds keep turnin' blackBaby, please just call me backYou keep livin' in my mindFeel your soul inside, yeah, inside[Chorus]Falling into pieces, I'm so aloneFalling into pieces, I'm so aloneI'm so—[Outro]I'm so—Falling into pieces, I'm so aloneFalling into pieces, I'm so alone"
7,Gloria In Excelsis Deo,Patti Smith,1975,False,spotify:track:272Z4tzaSMMcgrZ0R494S2,50,Miguel,https://open.spotify.com/track/272Z4tzaSMMcgrZ0R494S2,0.422,0.814,9,-7.365,1,0.195,0.118,5.3e-06,0.115,0.411,147.065,audio_features,272Z4tzaSMMcgrZ0R494S2,https://api.spotify.com/v1/tracks/272Z4tzaSMMcgrZ0R494S2,https://api.spotify.com/v1/audio-analysis/272Z4tzaSMMcgrZ0R494S2,354320,4,Patti Smith,"Jesus died for somebody's sins but not mineMelting in a pot of thieves wild card up my sleeveThick, heart of stone; my sins, my ownThey belong to meMePeople said beware but I don't careTheir words are just rules and regulations to meMeI walk in a room you know I look so proudI move in this here atmosphere where anything's allowedThen I go to this here party and I just get boredUntil I look out the window see a sweet young thingHumping on a parking meter leaning on the parking meterOh, she looks so goodOh, she looks so fineAnd I've got this crazy feeling that I'm going to make her mineOh I'll put my spell on her here she comesWalking down the street here she comesComing through my door here she comesCrawling up my stair here she comesWaltzing through the hall in a pretty red dressAnd oh, she looks so goodOh, she looks so fineAnd I've got this crazy feeling that I'm going to make her mineThen I hear this knocking on my door hear this knocking on my doorAnd I look up to the big tower clock and say oh my God it's midnightAnd my baby is walking through the door laying on my couchShe whispers to me and I take the big plungeAnd oh, she was so goodAnd oh, she was so fineAnd I'm going to tell the world that I just made her mineAnd I said darling, tell me your name, she told me her nameShe whispered to me, she told me her nameAnd her name is, and her name is, and her name is, and her name isG L O R I -G-L-O-R-I-A GloriaG-L-O-R-I-A GloriaG-L-O-R-I-A GloriaG-L-O-R-I-A Gloria"
15,Medallo,"['Blessd', 'Justin Quiles', 'Lenny Tavárez']",2021-10-27,True,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,85,Antonio,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw,0.787,0.7,4,-4.598,0,0.0768,0.568,0.00051,0.663,0.791,90.02,audio_features,6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/tracks/6lX6l7OuA3qrnIRfdsr0dw,https://api.spotify.com/v1/audio-analysis/6lX6l7OuA3qrnIRfdsr0dw,233453,4,Blessd,"[Letra de ""Medallo""][Intro: Blessd](Yeh-eh-ehEs pa' tiTú sabes quiénOvy On The Drums)O-O-Ovy On The Drums(Blessd)[Coro: Blessd & Justin Quiles]Mami, tú solo escribe (Solo escribe)Y ponte chimba pa' mí, que yo paso a recogerte en el lugar que tú vives (Lugar que tú vives)Mami, tú solo escribe (Tú solo)En Medallo tú vive' (Chimba en Medallo)Y ponte chimba pa' mí, que yo paso a recogerte en el lugar que tú vives (En el barrio)Pa' que nunca me olvidesMami, tú solo escribeY ponte chimba pa' mí, que yo paso a recogerte en lugar que tú vive'Mami, tú solo escribeEn PR tú vive'Ponte bonita pa' mí, que yo paso a recogerte en lugar que tú vive' (Vive')Pa' que nunca me olvides[Verso 1: Lenny Tavárez]Y si te paso a buscar y nos fumamo' algo allá en el mirador (Oh)Yo te recojo en la G Wa', pa' darte rico, no puedo en AventadorLa nota va subiendo sin elevadorPa' darte en cuatro, no te quite' la' Dior (Dior)Cuando un boricua dice ""'cho, qué rico""A ella se le encharca el pantalón[Coro: Lenny Tavárez]Mami, tú solo escribe (Tú solo escribe)Y ponte chimba pa' mí, que yo paso a recogerte en el lugar que tú vives (Que tú vives)Mami, tú solo escribeEn PR tú vive' (En PR tú vive')Ponte bonita pa' mí, que yo paso a recogerte en lugar que tú vive' (Que tú vive')Pa' que nunca me olvides (Hecho en Medellín)[Verso 2: Blessd]Mami, llama tus amiga' (Ey), que estamos puestos pa'l perreo (Na-na-na)Ese culo desde lejo' yo lo veo (Yo lo veo)Desde que entraste te gusté, baby, lo leo (Ey)Tus fotos de Instagram son igual, no lo creo (Wuh)Ay mami, dale, solo venteEstás tan chimba como siempreNo importa qué diga la genteSi al final tú vuelve' donde míAy mami, dale, solo venteEstás tan chimba como siempreNo importa qué diga la genteSi al final tú vuelve' donde mí"
16,THE HEARTBREAK v2,Rilès,2021-07-11,False,spotify:track:5xXMHq0eZJSPf9EaZivCoM,44,Edu,https://open.spotify.com/track/5xXMHq0eZJSPf9EaZivCoM,0.624,0.319,0,-9.035,0,0.0684,0.53,6.12e-06,0.106,0.377,156.172,audio_features,5xXMHq0eZJSPf9EaZivCoM,https://api.spotify.com/v1/tracks/5xXMHq0eZJSPf9EaZivCoM,https://api.spotify.com/v1/audio-analysis/5xXMHq0eZJSPf9EaZivCoM,210651,3,Riles,"[Intro]You know darlingI think about you from time to timeAnd even though this is all overI think there’s something to learn from thatAs always; listen[Verse 1]When I knew, from the startYou’ve been playing, with men’s heartI felt different from these losers, on the line (mmh)But I see clear right nowI might be the next oneLet me tell you few things ‘foreI find out[Chorus]Don’t play my soulOh, don’t wake my woesOh, don’t bring my loveFor no reasonBut this song[Verse 2]When I stoodRight across the cornerYou told meYou were with your mamaDidn’t really bought that shitYeah I crept and found that he was another oneShould I fuck him up?Is it worth it?Stay while you bangingPaying for a silent gunman, shitNow my anger taking back my with, nahBitch you lostNow I’m losing itIt ain’t my fault or is itI mad at you eyes on meCould’ve been the worst on this roleWhy you belong to you flawsShame I thought you was no hoe"
18,Bun Mi Heart,Mellow Mood,2015-04-07,False,spotify:track:5XFzqvGBZBy7rGvAndj0uJ,37,Edu,https://open.spotify.com/track/5XFzqvGBZBy7rGvAndj0uJ,0.788,0.304,4,-9.326,1,0.0665,0.881,0.0,0.107,0.378,120.082,audio_features,5XFzqvGBZBy7rGvAndj0uJ,https://api.spotify.com/v1/tracks/5XFzqvGBZBy7rGvAndj0uJ,https://api.spotify.com/v1/audio-analysis/5XFzqvGBZBy7rGvAndj0uJ,170086,4,Mellow Mood,More time mi call pon the Creatorthe answer a go come sooner or laterwhat time what day mi seh mi nuh really matteras long as now mi put this pon paperlong time mi tell you things coulda betteryou think seh mi done but I am greaterthat's why mi a go keep my head above the waterall when you bun mi heart bun mi heartGirl she run away from me yehseh she need aneda manwhile I'm begging stay pleaseand let me be the oneit never been easy it never been easythat's why mi jus' a beg yuh please tell mi whyyuh bun mi heartWords cyaan come off mi mouth dem woulda choke midem a harden up mi wish dem coulda softerdisya roof and wall come dung mi need fi block dembut the beam and the bricks dem a rottenanyway mi a go tan yah so and keep this upno need fi reason bout it this a no food fi toughtsqueeze di chigga girl until yuh mek mi hear di shotda ona yah name da one yah callBun mi heart bun mi heart yeh yeh yeh yehweh yuh dobun mi heart bun mi heart yeh yeh yeh yehI said yuh bun mi heart
