Source,Region,Sub-Region,Country,Drug-Group,Drug,SpecificDrugName,DrugState,Measurement,Sale ON,Typical average,From start ,To end,Purity,Type in which purity was checked,Year
ARQ,Europe,Western and Central Europe,Czechia,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,60.34999847,51.70000076,69,,Price,1995
ARQ,Europe,Western and Central Europe,Czechia,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,64285,,64285,,Price,1995
ARQ,Europe,Western and Central Europe,France,Substances not under international control,Plant-based NPS,Khat,,Gram,Street,0.851198007,0.680958433,1.021437582,,Price,2003
ARQ,Americas,Caribbean,Jamaica,Cocaine-type,Cocaine salts,,,Kilogram,Wholesale,,9000,9500,,Price,2004
EUROPOL,Europe,Western and Central Europe,Latvia,Opioids,Opium,,,Gram,Street,8.806250071,,,,Price,2005
ARQ,Asia,East and South-East Asia,Indonesia,Opioids,Opium,Dry,,Kilogram,Wholesale,,26881.72043,32258.06452,,Price,2005
ARQ,Americas,Central America,Panama,Opioids,Heroin,,,Kilogram,Wholesale,10000,,,,Price,2005
ARQ,Asia,Near and Middle East/ South-West Asia,Kuwait,Cocaine-type,Cocaine salts,,,Gram,Street,309.2783414,274.9140812,343.6426015,,Price,2005
ARQ,Asia,Near and Middle East/ South-West Asia,Kuwait,Opioids,Heroin,,,Gram,Street,137.4570406,137.4570406,206.1855609,,Price,2005
ARQ,Asia,Near and Middle East/ South-West Asia,Kuwait,Opioids,Opium,,,Gram,Street,,103.0927805,137.4570406,,Price,2005
ARQ,Asia,Near and Middle East/ South-West Asia,Kuwait,Cannabis-type,Hashish (resin),,,Gram,Street,,34.36426015,85.91065039,,Price,2005
ARQ,Asia,Near and Middle East/ South-West Asia,Kuwait,ATS,Amphetamine,,,Gram,Street,,6.872852031,13.74570406,,Price,2005
ARQ,Asia,South Asia,Nepal,ATS,Methamphetamine,,,Gram,Street,28.08988884,25.28089996,30.89887773,,Price,2006
ARQ,Asia,South Asia,Nepal,ATS,Methamphetamine,,,Kilogram,Wholesale,23876.40552,18258.42775,28089.88884,,Price,2006
ARQ,Asia,South Asia,Nepal,ATS,Amphetamine,,,Gram,Street,28.08988884,25.28089996,30.89887773,,Price,2006
ARQ,Asia,South Asia,Nepal,ATS,Amphetamine,,,Kilogram,Wholesale,23876.40552,18258.42775,28089.88884,,Price,2006
ARQ,Asia,East and South-East Asia,Philippines,Opioids,Heroin,,,Gram,Street,116.1665019,,,,Price,2006
ARQ,Asia,East and South-East Asia,Philippines,Opioids,Heroin,,,Kilogram,Wholesale,116166.5019,,,,Price,2006
ARQ,Africa,West and Central Africa,Congo,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,,1.843399479,3.686798958,,Price,2006
ARQ,Africa,West and Central Africa,Congo,Opioids,Heroin,,,Gram,Street,9.216997394,9.216997394,18.43399479,,Price,2006
ARQ,Africa,West and Central Africa,Congo,Cannabis-type,Marijuana (herb),,,Gram,Street,0.184339948,0.184339948,0.368679896,,Price,2006
ARQ,Africa,West and Central Africa,Congo,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,18.43399479,18.43399479,27.65099218,,Price,2006
ARQ,Africa,West and Central Africa,Liberia,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,,5,6,,Price,2006
ARQ,Africa,West and Central Africa,Liberia,Cocaine-type,Cocaine salts,Hydrochloride,,Kilogram,Wholesale,,23000,24000,,Price,2006
ARQ,Africa,West and Central Africa,Liberia,Opioids,Heroin,Heroin no 4,,Kilogram,Wholesale,13000,12000,13000,,Price,2006
ARQ,Africa,West and Central Africa,Liberia,Cannabis-type,Marijuana (herb),,,Gram,Street,,0.100000001,0.150000006,,Price,2006
ARQ,Africa,West and Central Africa,Liberia,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,,34,35,,Price,2006
ARQ,Africa,East Africa,Madagascar,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,15055.89554,12546.57961,18819.86942,,Price,2006
ARQ,Africa,East Africa,Madagascar,Cannabis-type,Hashish (resin),,,Litre,Farmgate,100.3726369,50.18631846,125.4657961,,Price,2006
ARQ,Africa,East Africa,Madagascar,Cannabis-type,Hashish (resin),,,Gram,Street,0.31366449,0.125465798,0.376397403,,Price,2006
ARQ,Africa,East Africa,Madagascar,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,125.4657961,75.27947769,175.6521146,,Price,2006
ARQ,Africa,West and Central Africa,Senegal,Cannabis-type,Marijuana (herb),,,Kilogram,Wholesale,147.4719583,73.73597915,221.2079375,,Price,2006
ARQ,Africa,West and Central Africa,Senegal,Cannabis-type,Hashish (resin),,,Kilogram,Wholesale,921.6997394,553.0198437,1843.399479,,Price,2006
ARQ,Africa,Southern Africa,Zimbabwe,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,7.426294032,4.950862688,9.901725376,,Price,2006
ARQ,Americas,Central America,Honduras,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,7.618288884,,,,Price,2006
ARQ,Asia,Near and Middle East/ South-West Asia,Syrian Arab Republic,Cocaine-type,Cocaine salts,,,Gram,Street,50,40,60,,Price,2007
ARQ,Asia,Near and Middle East/ South-West Asia,Syrian Arab Republic,Cocaine-type,Cocaine salts,,,Kilogram,Wholesale,40000,30000,50000,,Price,2007
ARQ,Asia,Near and Middle East/ South-West Asia,Syrian Arab Republic,Opioids,Opium,,,Gram,Street,4,3,5,,Price,2007
ARQ,Africa,East Africa,United Republic of Tanzania,Cocaine-type,Cocaine salts,Hydrochloride,,Gram,Street,,2.299999952,3.839999914,,Price,2008
ARQ,Asia,East and South-East Asia,Philippines,ATS,Ecstasy-type substances,,,1000  tablets,Wholesale,27070.92637,22559.10531,31582.74743,,Price,2008
ARQ,Americas,Central America,Honduras,Opioids,Heroin,,,Kilogram,Wholesale,19000,,,,Price,2008
