CONTROLN	STATE	GENDER	HV1	IC1	IC4	HVP1	IC5	POBC1	POBC2	IC2	IC3	AVGGIFT	TCODE	DOB	DOMAIN	TARGET_D
190579	CA	M	3200	310	343	83	17224	31	32	311	333	3.106060606	1	0	U1	4
42997	FL	F	1567	392	409	27	18631	4	10	391	434	6.5625	2	1808	C1	7
132896	OR	F	953	319	455	1	15729	3	45	379	387	15.57142857	2	4410	T1	25
120189	TX	M	492	244	301	3	10818	0	92	260	284	19.375	0	0	T2	25
138829	AZ	feamale	847	185	308	0	11582	3	20	238	225	11.5	28	3601	T2	25
167462	CA	M	2645	644	697	87	20782	26	46	655	682	8.75	0	3601	S1	15
160401	CA	F	1952	335	398	48	15290	6	55	365	367	13	28	3101	T2	13
174934	OR	F	1305	391	471	19	19716	7	40	456	448	7	28	0	S2	5
2020	CA	F	3556	735	805	98	34382	9	55	701	838	7.35	2	2401	S1	7
74235	MI	M	473	327	363	1	12580	0	94	338	348	13.5	4	4912	T2	26
167039	CA		3201	497	591	92	19656	9	72	552	539	5	0	0	S1	5
165509	CA	M	2213	447	491	77	16702	7	62	447	491	4.95	0	0	C1	10
151653	CA		1455	376	426	7	14860	19	39	417	393	6.35	0	2401	U3	10
100132	MO	F	393	216	301	0	10107	0	71	258	258	10	0	2401	S2	15
161726	CA	F	2453	438	475	86	15707	16	45	451	436	5.8125	0	4601	T1	7
125986	TX	M	533	246	308	1	10096	3	75	276	287	13.375	0	4610	T2	17
185394	MI	F	647	285	338	0	12910	7	80	317	300	8.916666667	2	2702	S2	5
43799	FL	F	1044	366	499	15	22427	8	35	318	458	13.16666667	2	5801	T2	20
185464	KY	M	702	308	397	0	14670	9	23	348	337	11.11111111	1	3910	T2	15
125325	TX	M	852	516	556	1	16206	4	46	540	535	14.62347826	13	1709	S1	20
112679	OK	M	1045	528	618	1	19402	3	48	538	604	15	1	4801	S1	20
2415	CA	F	5501	817	958	98	41734	33	36	924	870	17.5	28	5501	S1	25
166866	CA	F	3921	754	835	96	33998	7	50	804	799	10	0	0	S1	12.5
4211	TX	F	919	425	697	10	25784	4	63	562	558	17.92307692	2	402	C1	25
182395	WA	F	755	210	313	2	11983	9	39	315	244	16.5	28	2601	C2	10
188178	NV	F	1383	410	562	14	22875	8	8	464	499	7	28	0	S2	8
147835	CA	F	3694	421	666	97	28021	25	41	611	601	32.22222222	0	0	C1	20
5532	MD	M	1690	598	700	29	24959	4	30	655	653	9.928571429	0	2104	T2	15
128857	TX	M	438	213	264	0	7722	23	47	213	265	26	1	4801	C3	15
40058	FL	F	1187	400	469	12	21608	12	11	448	438	11.66666667	2	1007	C2	25
179377	WA		1617	398	490	29	14123	4	59	414	457	7.5	0	0	0	10
166207	CA	M	1367	342	355	4	14197	2	57	329	359	6.75	1	0	U2	9
124227	TX	U	267	121	94	0	4567	0	69	72	169	13.875	0	0	C3	25
7173	TN	F	854	321	427	0	16171	0	58	389	372	17.73333333	2	3008	S1	32
85152	MN	M	493	244	395	1	12517	1	87	311	314	12.5	2	0	R3	10
32807	FL	M	700	327	375	0	11551	9	44	360	355	5.444444444	1002	3301	S2	5
268	FL	F	1765	327	562	44	27674	14	8	465	442	22.38095238	0	607	C1	33
109514	LA	M	0	0	0	0	0	0	0	0	0	5.666666667	0	3601	T2	6
181644	WA	F	929	327	352	8	12995	5	47	369	314	8.5	0	5707	C3	12
62585	NC	feamale	581	231	332	1	11794	0	90	267	288	14	0	5001	C3	25
163354	CA	F	4313	748	811	98	27850	16	54	783	752	11.85714286	0	604	U1	10
98672	IL	M	470	274	337	0	11192	1	91	313	282	4.2	0	6506	C3	5
190614	CO	F	1159	572	561	0	17337	6	28	557	574	6.230769231	0	0	S1	3
155607	CA	F	3152	853	950	81	35415	10	45	891	908	34	0	5401	S1	38
161804	CA	M	1137	348	444	5	11621	27	54	362	425	9	1	3906	R2	5
11348	FL	M	912	313	442	8	18554	6	14	370	379	12.16666667	0	0	C2	5
111380	AR	M	332	219	296	0	9763	0	84	257	261	7.133333333	1	2801	R3	10
86578	ND	M	247	195	259	0	8189	1	87	220	231	5.5	2	1201	R3	15
157904	CA	F	2190	611	709	63	23641	16	43	655	669	6.5	0	4401	S1	6
140924	NV	M	1117	461	450	3	16614	6	28	461	461	6.428571429	1002	0	S2	7
32972	FL	F	814	268	312	1	10427	3	46	282	298	10.4	0	5511	S2	12
149541	CA	F	1814	328	410	27	10846	40	43	418	380	10.66666667	2	3601	S2	10
182604	WA	F	403	195	365	0	11859	8	63	288	237	20	0	2801	T2	15
103876	MO	F	613	264	357	0	12334	2	64	323	300	10.66666667	28	3001	C2	20
65999	MI	M	2712	1022	1079	81	49631	13	44	1144	989	18.42857143	2	1909	C1	25
104394	KS	F	958	467	582	8	18211	3	45	499	525	7.6	28	3501	C1	10
117524	TN	F	1129	332	537	12	22706	8	43	445	429	20.83333333	28	4402	S1	25
147904	CA	F	4984	630	777	98	27747	24	41	702	734	12.14285714	0	1501	S1	50
105815	KS	M	452	270	324	0	11198	4	62	300	297	14.8	1002	5001	C3	20
31778	FL	M	986	485	539	11	18013	2	26	495	530	20.11111111	1	4308	T1	25
112084	AR	M	655	215	305	3	12067	1	31	247	267	14.44	1	2410	R2	14
58850	KY	M	459	133	258	0	13898	0	81	195	237	3.52173913	1	2201	T2	6
185901	TX	M	674	317	553	2	19769	0	57	402	458	5.363636364	2	801	0	10
134566	UT	F	728	265	339	2	8896	2	54	304	315	10.35714286	0	0	S2	10
185819	CA	M	4153	580	891	91	35520	13	41	886	640	12	2	1601	S1	13
3985	TX	F	348	197	265	0	7978	3	87	223	239	10.22692308	0	2612	R3	12
23321	SC	F	869	426	511	4	17534	0	68	505	465	7.25	0	3011	T1	10
158978	CA	M	1876	393	450	24	11692	25	46	404	419	10.83333333	0	5009	S2	15
14388	FL	M	865	341	432	3	15630	7	21	387	392	6.266666667	1002	6206	S2	10
12779	CA	M	666	213	288	1	8943	14	47	253	268	8.166666667	1	1407	R3	10
39667	FL	M	809	358	446	8	16099	10	32	389	411	13.71428571	0	2209	S2	15
163731	CA	M	4763	502	609	97	24002	26	42	534	551	9.888888889	1	5401	S1	11
156457	CA	F	0	0	0	0	0	0	0	0	0	15	0	5308	U2	25
100369	MO	F	987	296	412	1	17097	2	76	354	344	28	2	7201	S2	28
46201	FL	M	2444	729	782	70	28668	8	33	780	737	15	1	3001	S1	15
118182	TX	M	503	213	292	1	9495	1	71	255	262	4.5	0	2301	R2	5
67	NM	F	1004	189	313	0	12667	2	32	247	236	5.05	0	1801	C2	5
116951	TX	F	1565	717	784	0	27276	9	27	780	704	6.1	0	1404	U3	6
160032	CA	F	872	294	356	0	12433	7	62	307	343	20.4	0	0	C2	25
60694	IN	F	501	305	399	2	13073	2	61	374	354	20.77777778	0	0	R1	25
80387	WI	F	331	154	273	0	10270	2	90	237	217	4.444444444	0	1401	T3	5
158143	CA	M	620	236	309	1	10406	2	60	270	279	12.36142857	1	4007	S1	16
25277	SC	M	747	369	488	0	18371	1	35	457	396	15	1	2101	T1	17
179454	WA	F	936	237	308	1	9875	22	48	304	257	9.5	28	2501	U3	20
145899	NC	feamale	1491	396	566	22	26286	1	42	489	472	14	0	0	S2	20
183790	WA	F	756	333	430	6	14127	1	57	372	391	8.769230769	0	0	R2	14
119538	TX	F	487	217	262	0	10468	17	59	222	247	9.888888889	0	3602	C3	16
24991	SC	M	651	310	382	1	12428	1	73	345	337	7.611111111	1	5201	T2	11
113501	OK	F	693	404	486	0	16698	3	54	479	439	5.125	0	6201	C2	5
185353	CA	F	1063	150	223	10	6871	26	38	148	206	3.035714286	28	1801	U4	3
72308	MI	F	609	403	466	0	14455	2	87	424	422	19.25	0	2002	T2	46
110519	LA	M	732	366	459	0	16287	1	71	374	432	10.70588235	2	3801	R1	17
124193	TX	U	439	268	341	0	10164	1	72	301	307	5.8	0	0	R2	6
181526	WA	F	871	339	384	2	11889	2	51	355	363	9.5	0	0	T2	13
2796	AK	Male	682	374	469	3	17213	3	29	423	416	15	0	0	R2	25
67954	MI	F	313	159	274	0	7661	1	76	256	220	16.25	0	3101	U4	35
93809	IL	M	1059	334	528	0	17632	15	75	513	392	7.583333333	1	2003	U2	10
109520	LA	M	687	257	328	0	10271	0	79	310	291	9	1	4501	T2	15
76051	IA	M	397	248	313	0	10348	2	20	270	296	14.4	1	4207	S3	20
145521	CA	F	2516	595	691	80	22684	15	40	649	641	13.65517241	0	0	U1	16
87533	MT	feamale	747	289	387	3	14744	1	54	318	347	11.625	0	2401	R1	5
82026	WI	F	506	270	346	0	12940	0	81	323	326	8.6	0	2201	T2	12
97055	IL	F	412	311	380	0	13227	0	84	354	342	9.333333333	0	3001	R2	22
74701	MI		360	206	267	1	9463	1	70	239	233	9.142857143	1	1901	R3	20
183374	WA	male	423	208	296	1	9445	24	43	229	261	4.380952381	1	0	R3	10
28565	GA	F	745	304	342	1	14465	17	39	275	353	5.166666667	2	0	C3	7
139628	NM	M	691	284	337	0	11852	1	46	294	319	17.16	2	3801	U2	20
113686	OK	J	657	358	366	0	10889	5	34	366	357	10	1002	5701	C2	15
123862	TX	F	978	428	609	1	23102	7	43	559	475	4.333333333	0	7001	C1	3
151629	CA	F	1586	308	369	10	11913	12	32	321	337	9.5	0	3601	U3	15
5404	LA	U	587	291	331	0	10789	0	75	302	317	17.53846154	0	3611	T2	10
150516	CA	F	3304	567	669	82	21745	42	37	614	629	24.05882353	28	1501	S1	25
31911	VA	F	800	294	376	1	13480	0	63	358	333	4.285714286	0	0	S1	5
2379	MI	M	1596	549	672	31	23345	3	71	603	631	10.875	1	4809	T1	10
151455	CA		2105	301	395	55	13279	47	36	314	372	15.33333333	0	0	U4	20
90499	IL	F	1480	560	718	25	22088	16	51	684	635	7.617021277	0	5208	C1	10
177307	OR	F	585	216	292	1	10423	4	42	266	255	9.727272727	28	0	C3	10
65423	MI	F	1033	488	651	0	22157	5	72	611	565	10.33333333	3	3401	S1	10
95800	IL	M	340	147	252	0	7173	5	58	178	217	10.2	1	1004	S3	20
91965	IL		1708	342	455	11	21795	21	70	413	374	12.6875	2	4505	S2	16
104721	KS	F	1419	694	777	13	25024	1	29	698	766	7.363636364	0	6701	S2	10
165177	CA	F	2698	563	599	89	18228	27	49	593	572	10.81818182	0	0	U1	5
156929	CA	U	2688	306	449	88	24944	5	37	367	418	8.642857143	0	0	U2	15
52549	TN	M	556	202	389	1	14382	0	81	346	270	13.11111111	1	5501	R2	30
51706	TN	M	972	193	318	16	8716	0	71	278	281	11.42857143	0	4808	T2	15
117969	TX	F	498	227	315	0	10907	1	62	278	282	7.454545455	28	3001	C1	9
2235	FL	M	878	285	410	10	16534	4	6	331	349	10.47058824	1	3204	C2	12
161023	CA	M	883	281	362	1	11791	8	59	333	315	14.85714286	2	2801	R1	20
139887	NM	F	670	231	290	2	9443	2	52	287	282	11.66666667	28	0	R2	20
186212	NM	M	589	270	325	0	10889	5	45	317	292	8.588235294	1002	1008	C1	7
162759	CA	F	2620	481	523	82	16047	48	36	490	519	14.42857143	0	4001	S1	18
95654	IL	M	677	426	489	0	18718	2	71	466	442	10.66666667	1	3308	S2	20
101774	MO	F	464	164	285	0	9685	1	64	257	224	8.222222222	0	6201	C3	8
21710	NC	M	600	257	349	1	12433	2	64	308	292	9.52631579	2	0	T2	10
65565	MI	F	707	282	474	0	15832	13	73	393	383	4.176470588	2	701	U2	10
171631	CA	F	1537	495	544	19	17689	13	58	509	528	11.19230769	4	5302	S1	10
24869	SC	F	682	366	498	2	14538	3	63	464	421	8	0	6001	T2	8
