,customerid,invoiceno,invoicedate,stockcode,description,quantity,unitprice,revenue,country,nullid,desciption_cambiada,fecha,coordenadas,precio_total
0,12726,575880,2011-11-11 13:35:00.000000,21123,SET/10 IVORY POLKADOT PARTY CANDLES,28,1.25,30.0,France,198017.0,2,2011-11-11,"(46.603354, 1.8883335)",35.0
1,14083,536945,2010-12-03 12:24:00.000000,17107D,FLOWER FAIRY 5 DRAWER LINERS,7,2.55,7.649999999999999,United Kingdom,198017.0,2,2010-12-03,"(54.7023545, -3.2765753)",17.849999999999998
2,17870,581173,2011-12-07 15:07:00.000000,51014A,"FEATHER PEN,HOT PINK",16,0.39,4.68,United Kingdom,186653.0,2,2011-12-07,"(54.7023545, -3.2765753)",6.24
3,16347,574249,2011-11-03 13:01:00.000000,23203,JUMBO BAG DOILEY PATTERNS,14,2.08,20.8,United Kingdom,198017.0,2,2011-11-03,"(54.7023545, -3.2765753)",29.12
4,15570,543602,2011-02-10 13:34:00.000000,22976,CIRCUS PARADE CHILDRENS EGG CUP ,6,1.25,2.5,United Kingdom,189829.0,2,2011-02-10,"(54.7023545, -3.2765753)",7.5
5,16361,568896,2011-09-29 13:13:00.000000,22670,FRENCH WC SIGN BLUE METAL,9,1.25,6.25,United Kingdom,198017.0,2,2011-09-29,"(54.7023545, -3.2765753)",11.25
6,16317,563171,2011-08-12 12:46:00.000000,15036,ASSORTED COLOURS SILK FAN,16,0.83,9.96,United Kingdom,235441.0,2,2011-08-12,"(54.7023545, -3.2765753)",13.28
7,15572,548952,2011-04-05 10:46:00.000000,22668,PINK BABY BUNTING,14,2.95,29.5,United Kingdom,303125.0,2,2011-04-05,"(54.7023545, -3.2765753)",41.300000000000004
8,15561,552263,2011-05-08 11:38:00.000000,21718,RED METAL BEACH SPADE ,12,1.25,10.0,United Kingdom,198017.0,2,2011-05-08,"(54.7023545, -3.2765753)",15.0
9,13451,576070,2011-11-13 15:58:00.000000,22494,EMERGENCY FIRST AID TIN ,8,1.25,5.0,United Kingdom,174781.0,2,2011-11-13,"(54.7023545, -3.2765753)",10.0
10,13426,575965,2011-11-13 12:32:00.000000,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,16,0.85,10.2,United Kingdom,118649.0,2,2011-11-13,"(54.7023545, -3.2765753)",13.6
11,14040,570232,2011-10-09 13:58:00.000000,22742,MAKE YOUR OWN PLAYTIME CARD KIT,6,2.95,5.9,United Kingdom,140329.0,2,2011-10-09,"(54.7023545, -3.2765753)",17.700000000000003
12,13018,550342,2011-04-17 15:55:00.000001,21232,STRAWBERRY CERAMIC TRINKET BOX,16,1.25,15.0,United Kingdom,72309.0,2,2011-04-17,"(54.7023545, -3.2765753)",20.0
13,12502,552040,2011-05-06 08:19:00.000000,21070,VINTAGE BILLBOARD MUG ,16,1.25,15.0,Spain,209961.0,2,2011-05-06,"(39.3260685, -4.8379791)",20.0
14,12721,575049,2011-11-08 12:13:00.000000,23256,CHILDRENS CUTLERY SPACEBOY ,8,4.15,16.6,France,198017.0,2,2011-11-08,"(46.603354, 1.8883335)",33.2
15,16940,571671,2011-10-18 13:15:00.000001,21155,RED RETROSPOT PEG BAG,8,2.55,10.2,United Kingdom,198017.0,2,2011-10-18,"(54.7023545, -3.2765753)",20.4
16,17377,562542,2011-08-05 15:40:00.000000,22984,CARD GINGHAM ROSE ,16,0.42,5.04,United Kingdom,198017.0,2,2011-08-05,"(54.7023545, -3.2765753)",6.72
17,12433,573035,2011-10-27 13:43:00.000000,23509,MINI PLAYING CARDS FUN FAIR ,24,0.42,8.4,Norway,388459.0,2,2011-10-27,"(60.5000209, 9.0999715)",10.08
18,15301,571940,2011-10-20 09:57:00.000000,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,16,0.85,10.2,United Kingdom,198017.0,2,2011-10-20,"(54.7023545, -3.2765753)",13.6
19,13495,574349,2011-11-04 10:29:00.000000,21484,CHICK GREY HOT WATER BOTTLE,12,4.25,34.0,United Kingdom,69493.0,2,2011-11-04,"(54.7023545, -3.2765753)",51.0
20,14388,545461,2011-03-03 08:24:00.000000,22423,REGENCY CAKESTAND 3 TIER,6,12.75,25.5,United Kingdom,198017.0,2,2011-03-03,"(54.7023545, -3.2765753)",76.5
21,16554,551532,2011-05-01 14:17:00.000000,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,8,3.29,13.16,United Kingdom,198017.0,2,2011-05-01,"(54.7023545, -3.2765753)",26.32
22,17272,554489,2011-05-24 13:46:00.000000,21984,PACK OF 12 PINK PAISLEY TISSUES ,28,0.29,6.959999999999999,United Kingdom,170949.0,2,2011-05-24,"(54.7023545, -3.2765753)",8.12
23,18245,542647,2011-01-31 11:46:00.000000,22919,HERB MARKER MINT,16,0.65,7.800000000000001,United Kingdom,148739.0,2,2011-01-31,"(54.7023545, -3.2765753)",10.4
24,17841,560368,2011-07-18 12:25:00.000000,20886,BOX OF 9 PEBBLE CANDLES,11,1.95,13.65,United Kingdom,198017.0,2,2011-07-18,"(54.7023545, -3.2765753)",21.45
25,16274,536569,2010-12-01 15:34:59.999999,22571,ROCKING HORSE RED CHRISTMAS ,8,0.85,3.4,United Kingdom,198017.0,2,2010-12-01,"(54.7023545, -3.2765753)",6.8
26,16031,566033,2011-09-08 13:07:00.000000,23296,SET OF 6 TEA TIME BAKING CASES,5,1.25,1.25,United Kingdom,370985.0,2,2011-09-08,"(54.7023545, -3.2765753)",6.25
27,18044,558098,2011-06-26 13:31:00.000000,22616,PACK OF 12 LONDON TISSUES ,28,0.29,6.959999999999999,United Kingdom,198017.0,2,2011-06-26,"(54.7023545, -3.2765753)",8.12
28,18236,559306,2011-07-07 13:02:00.000000,22842,BISCUIT TIN VINTAGE RED,6,6.75,13.5,United Kingdom,174621.0,2,2011-07-07,"(54.7023545, -3.2765753)",40.5
29,13500,562774,2011-08-09 12:20:00.000000,22621,TRADITIONAL KNITTING NANCY,16,1.65,19.8,United Kingdom,247139.0,2,2011-08-09,"(54.7023545, -3.2765753)",26.4
30,15547,569228,2011-10-02 14:47:00.000000,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,6,0.85,1.7,United Kingdom,198017.0,2,2011-10-02,"(54.7023545, -3.2765753)",5.1
31,13004,567954,2011-09-23 08:29:59.999999,22814,CARD PARTY GAMES ,16,0.42,5.04,United Kingdom,198017.0,2,2011-09-23,"(54.7023545, -3.2765753)",6.72
32,13571,572858,2011-10-26 12:36:00.000000,20719,WOODLAND CHARLOTTE BAG,6,0.85,1.7,United Kingdom,198017.0,2,2011-10-26,"(54.7023545, -3.2765753)",5.1
33,14844,570027,2011-10-07 10:41:00.000000,23526,DOG LICENCE WALL ART,8,5.95,23.8,United Kingdom,198017.0,2,2011-10-07,"(54.7023545, -3.2765753)",47.6
34,12502,565519,2011-09-05 11:52:00.000000,22215,CAKE STAND WHITE TWO TIER LACE,8,8.5,34.0,Spain,223711.0,2,2011-09-05,"(39.3260685, -4.8379791)",68.0
35,17139,557145,2011-06-17 10:43:00.000000,23245,SET OF 3 REGENCY CAKE TINS,8,4.95,19.8,United Kingdom,355703.0,2,2011-06-17,"(54.7023545, -3.2765753)",39.6
36,16813,572096,2011-10-20 15:20:00.000000,22115,METAL SIGN EMPIRE TEA,7,0.79,2.37,United Kingdom,198017.0,2,2011-10-20,"(54.7023545, -3.2765753)",5.53
37,13081,574328,2011-11-04 09:05:00.000000,21679,SKULLS  STICKERS,16,0.85,10.2,United Kingdom,198017.0,2,2011-11-04,"(54.7023545, -3.2765753)",13.6
38,18122,574444,2011-11-04 11:41:00.000001,22556,PLASTERS IN TIN CIRCUS PARADE ,6,1.65,3.3,United Kingdom,168011.0,2,2011-11-04,"(54.7023545, -3.2765753)",9.899999999999999
39,12615,574104,2011-11-03 10:44:59.999999,22580,ADVENT CALENDAR GINGHAM SACK,10,5.95,35.7,France,119121.0,2,2011-11-03,"(46.603354, 1.8883335)",59.5
40,15311,559141,2011-07-06 13:56:00.000001,22354,RETROSPOT PADDED SEAT CUSHION,8,3.75,15.0,United Kingdom,198017.0,2,2011-07-06,"(54.7023545, -3.2765753)",30.0
41,16817,581057,2011-12-07 11:03:00.000000,22112,CHOCOLATE HOT WATER BOTTLE,10,4.95,29.7,United Kingdom,198017.0,2,2011-12-07,"(54.7023545, -3.2765753)",49.5
42,17364,561125,2011-07-25 12:58:00.000000,23029,DOORKNOB CRACKED GLAZE GREEN,10,1.65,9.9,United Kingdom,365459.0,2,2011-07-25,"(54.7023545, -3.2765753)",16.5
43,15246,550290,2011-04-15 14:45:00.000001,22568,FELTCRAFT CUSHION OWL,8,3.75,15.0,United Kingdom,105127.0,2,2011-04-15,"(54.7023545, -3.2765753)",30.0
44,15862,536401,2010-12-01 11:21:00.000001,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,7,2.95,8.850000000000001,United Kingdom,198017.0,2,2010-12-01,"(54.7023545, -3.2765753)",20.650000000000002
45,17848,557950,2011-06-23 17:35:00.000000,23096,PETIT TRAY CHIC,6,1.65,3.3,United Kingdom,342869.0,2,2011-06-23,"(54.7023545, -3.2765753)",9.899999999999999
46,15665,549568,2011-04-10 15:09:00.000000,85099F,JUMBO BAG STRAWBERRY,8,2.08,8.32,United Kingdom,108333.0,2,2011-04-10,"(54.7023545, -3.2765753)",16.64
47,13756,581187,2011-12-07 16:44:00.000000,23439,HAND WARMER RED LOVE HEART,28,2.1,50.40000000000001,United Kingdom,380289.0,2,2011-12-07,"(54.7023545, -3.2765753)",58.800000000000004
48,14159,555558,2011-06-05 14:06:00.000000,21977,PACK OF 60 PINK PAISLEY CAKE CASES,5,0.55,0.55,United Kingdom,198017.0,2,2011-06-05,"(54.7023545, -3.2765753)",2.75
49,15145,549017,2011-04-05 15:20:00.000000,22193,RED DINER WALL CLOCK,6,8.5,17.0,United Kingdom,56881.0,2,2011-04-05,"(54.7023545, -3.2765753)",51.0
50,12619,559987,2011-07-14 12:12:00.000000,21215,IVORY PAPER CUP CAKE CASES ,28,0.55,13.2,Germany,206259.0,2,2011-07-14,"(51.0834196, 10.4234469)",15.400000000000002
51,16549,579470,2011-11-29 15:06:00.000001,82552,WASHROOM METAL SIGN,8,1.45,5.8,United Kingdom,136051.0,2,2011-11-29,"(54.7023545, -3.2765753)",11.6
52,17346,570791,2011-10-12 11:58:00.000000,23344,JUMBO BAG 50'S CHRISTMAS ,24,2.08,41.6,United Kingdom,198017.0,2,2011-10-12,"(54.7023545, -3.2765753)",49.92
53,13093,540357,2011-01-06 15:14:00.000000,22334,DINOSAUR PARTY BAG + STICKER SET,12,1.65,13.2,United Kingdom,243823.0,2,2011-01-06,"(54.7023545, -3.2765753)",19.799999999999997
54,13999,579444,2011-11-29 13:40:00.000001,21485,RETROSPOT HEART HOT WATER BOTTLE,7,4.95,14.85,United Kingdom,198017.0,2,2011-11-29,"(54.7023545, -3.2765753)",34.65
55,12397,561507,2011-07-27 14:21:00.000001,23289,DOLLY GIRL CHILDRENS BOWL,12,1.25,10.0,Belgium,362925.0,2,2011-07-27,"(50.6402809, 4.6667145)",15.0
56,15260,536667,2010-12-02 12:09:00.000000,22594,CHRISTMAS GINGHAM TREE,28,0.85,20.4,United Kingdom,198017.0,2,2010-12-02,"(54.7023545, -3.2765753)",23.8
57,12928,549749,2011-04-12 10:44:59.999999,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,28,1.25,30.0,United Kingdom,87729.0,2,2011-04-12,"(54.7023545, -3.2765753)",35.0
58,16523,563450,2011-08-16 14:33:00.000000,23202,JUMBO BAG VINTAGE LEAF,24,2.08,41.6,United Kingdom,198017.0,2,2011-08-16,"(54.7023545, -3.2765753)",49.92
59,16700,542353,2011-01-27 12:18:59.999999,22902,TOTE BAG I LOVE LONDON,16,2.1,25.2,United Kingdom,116143.0,2,2011-01-27,"(54.7023545, -3.2765753)",33.6
60,18225,559918,2011-07-13 15:29:00.000000,22896,PEG BAG APPLE DESIGN,10,2.55,15.3,United Kingdom,198017.0,2,2011-07-13,"(54.7023545, -3.2765753)",25.5
61,16823,551158,2011-04-26 15:00:00.000000,21561,DINOSAUR LUNCH BOX WITH CUTLERY,7,2.55,7.649999999999999,United Kingdom,198017.0,2,2011-04-26,"(54.7023545, -3.2765753)",17.849999999999998
62,14546,548984,2011-04-05 12:37:00.000000,22151,PLACE SETTING WHITE HEART,28,0.42,10.08,United Kingdom,147675.0,2,2011-04-05,"(54.7023545, -3.2765753)",11.76
63,17652,557891,2011-06-23 14:04:59.999999,22130,PARTY CONE CHRISTMAS DECORATION ,28,0.85,20.4,United Kingdom,198017.0,2,2011-06-23,"(54.7023545, -3.2765753)",23.8
64,14562,550994,2011-04-21 19:55:00.000000,22178,VICTORIAN GLASS HANGING T-LIGHT,16,1.25,15.0,United Kingdom,198017.0,2,2011-04-21,"(54.7023545, -3.2765753)",20.0
65,17700,578225,2011-11-23 11:51:00.000000,21098,CHRISTMAS TOILET ROLL,16,1.25,15.0,United Kingdom,198017.0,2,2011-11-23,"(54.7023545, -3.2765753)",20.0
66,16283,569223,2011-10-02 13:48:59.999999,22816,CARD MOTORBIKE SANTA,16,0.42,5.04,United Kingdom,198017.0,2,2011-10-02,"(54.7023545, -3.2765753)",6.72
67,15089,564166,2011-08-23 13:40:00.000001,21754,HOME BUILDING BLOCK WORD,10,5.95,35.7,United Kingdom,8053.0,2,2011-08-23,"(54.7023545, -3.2765753)",59.5
68,16655,568191,2011-09-25 14:37:00.000000,22986,GINGHAM ROSE WRAP,29,0.42,10.5,United Kingdom,227687.0,2,2011-09-25,"(54.7023545, -3.2765753)",12.18
69,13089,551650,2011-05-03 12:02:00.000000,21181,PLEASE ONE PERSON METAL SIGN,16,2.1,25.2,United Kingdom,198017.0,2,2011-05-03,"(54.7023545, -3.2765753)",33.6
70,15993,574741,2011-11-06 16:13:00.000000,21903,MAN FLU METAL SIGN,5,2.1,2.1,United Kingdom,198017.0,2,2011-11-06,"(54.7023545, -3.2765753)",10.5
71,14911,577355,2011-11-18 15:53:00.000000,23479,WIRE EGG BASKET ,6,7.85,15.7,EIRE,392091.0,2,2011-11-18,"(52.865196, -7.9794599)",47.099999999999994
72,15804,565779,2011-09-06 15:14:00.000000,23234,BISCUIT TIN VINTAGE CHRISTMAS,10,2.89,17.34,United Kingdom,198017.0,2,2011-09-06,"(54.7023545, -3.2765753)",28.900000000000002
73,17673,546951,2011-03-18 11:29:59.999999,22287,"DECORATION , WOBBLY CHICKEN, METAL ",8,1.65,6.6,United Kingdom,308957.0,2,2011-03-18,"(54.7023545, -3.2765753)",13.2
74,14194,554906,2011-05-27 11:41:00.000001,22383,LUNCH BAG SUKI  DESIGN ,14,1.65,16.5,United Kingdom,198017.0,2,2011-05-27,"(54.7023545, -3.2765753)",23.099999999999998
75,15862,536401,2010-12-01 11:21:00.000001,22110,BIRD HOUSE HOT WATER BOTTLE,5,2.55,2.55,United Kingdom,198017.0,2,2010-12-01,"(54.7023545, -3.2765753)",12.75
76,14251,579391,2011-11-29 12:07:00.000000,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,44,2.55,102.0,United Kingdom,198017.0,2,2011-11-29,"(54.7023545, -3.2765753)",112.19999999999999
77,14246,561106,2011-07-25 11:37:00.000000,22752,SET 7 BABUSHKA NESTING BOXES,8,8.5,34.0,United Kingdom,3379.0,2,2011-07-25,"(54.7023545, -3.2765753)",68.0
