fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
"0",HOTEL RIU CLUB PARAISO LANZAROTE RESORT,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B2,Puerto del Carmen,ES708B23,Puerto del Carmen: Matagorda - Los Pocillos,"35028",Tías,"CALLE SUIZA , 4.PLAYA DE LOS POCILLOS",300 o más habitaciones,650 o más plazas,-13.63932784,28.926763238,etnk99unse,632629.37,3200633.49
"1",OCCIDENTAL LANZAROTE PLAYA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES708,Lanzarote,ES708B1,Costa Teguise,ES708B12,Costa Teguise: Litoral,"35024",Teguise,"AVENIDA DEL MAR, 6",300 o más habitaciones,650 o más plazas,-13.50978259,28.987312399,etnkusfrr4,645173.54,3207494.99
"2",HOTEL PARADISE PARK,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B2,Las Américas - Los Cristianos,ES709B23,Los Cristianos,"38006",Arona,URBANIZACIÓN OASIS DEL SUR,300 o más habitaciones,650 o más plazas,-16.70628369,28.053428781,esupeffz56,332302.78,3104295.54
"3",HOTEL CATALONIA PUNTA DEL REY,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38011",Candelaria,"AVENIDA GENERALISIMO, 165",300 o más habitaciones,650 o más plazas,-16.36211189,28.377361794,eth37tvqp5,366536.23,3139759.91
"4",HOTEL MEDANO,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B3,Abona,ES709B32,El Médano,"38017",Granadilla de Abona,"PASEO PICACHO, 2",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.53800193,28.044016879,esupx9m2hx,348831.06,3103032.41
"5",HOTEL PLAYA SUR TENERIFE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B3,Abona,ES709B32,El Médano,"38017",Granadilla de Abona,"PLAYA DEL MÉDANO, S/N",De 50 a 149 habitaciones,De 100 a 349 plazas,-16.54282447,28.041107416,esupx89zk3,348352.91,3102716.04
"6",PARADOR TURISMO LAS CAÑADAS DEL TEIDE,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES709,Tenerife,ES709B9,Resto de Tenerife,ES709B9,Resto de Tenerife,"38026",La Orotava,CALLE LAS CAÑADAS DEL TEIDE,Menor de 50 habitaciones,Menor de 100 plazas,-16.62713435,28.224399963,eth0tdh7p9,340336.74,3123133.08
"7",HOTEL SUN HOLIDAYS,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE LA PEÑITA, 6",Menor de 50 habitaciones,Menor de 100 plazas,-16.55375492,28.416832449,eth1xm1uj9,347812.51,3144360.59
"8",HOTEL TAORO GARDEN,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE DINAMARCA, 3 (PARQUE TAORO)",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.54642938,28.410945403,eth1xkp3b2,348521.75,3143699.04
"9",APARTAMENTOS BAMBI,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE ENRIQUE TALG, 15",De 40 a 79 apartamentos,De 50 a 119 plazas,-16.54528665,28.416492741,eth1xt044f,348641.59,3144312.27
"10",HC HOTEL MAGEC,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE CUPIDO, 11",De 150 a 299 habitaciones,De 350 a 649 plazas,-16.55222297,28.414682317,eth1xkep90,347959.51,3144120.41
