,_id,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,geometria,producto,cantidad,opiniones
0,6207981ff1ffd716fe69db25,ORD037011,ID0847526574,2019-11-11,Nickolson,"('iStream', 2)",18465,102.31,-37.8235063,144.9675756,0,18567.31,Spring,True,0.5736,better than alcon never buy and overpriced alcon. i love the button free gestures and the split screen capability. no regrets!,True,"{'type': 'Point', 'coordinates': [144.9675756, -37.8235063]}",iStream,2,Neutral
0,6207981ff1ffd716fe69db25,ORD037011,ID0847526574,2019-11-11,Nickolson,"('Olivia x460', 1)",18465,102.31,-37.8235063,144.9675756,0,18567.31,Spring,True,0.5736,better than alcon never buy and overpriced alcon. i love the button free gestures and the split screen capability. no regrets!,True,"{'type': 'Point', 'coordinates': [144.9675756, -37.8235063]}",Olivia x460,1,Neutral
0,6207981ff1ffd716fe69db25,ORD037011,ID0847526574,2019-11-11,Nickolson,"('Toshika 750', 1)",18465,102.31,-37.8235063,144.9675756,0,18567.31,Spring,True,0.5736,better than alcon never buy and overpriced alcon. i love the button free gestures and the split screen capability. no regrets!,True,"{'type': 'Point', 'coordinates': [144.9675756, -37.8235063]}",Toshika 750,1,Neutral
0,6207981ff1ffd716fe69db25,ORD037011,ID0847526574,2019-11-11,Nickolson,"('pearTV', 2)",18465,102.31,-37.8235063,144.9675756,0,18567.31,Spring,True,0.5736,better than alcon never buy and overpriced alcon. i love the button free gestures and the split screen capability. no regrets!,True,"{'type': 'Point', 'coordinates': [144.9675756, -37.8235063]}",pearTV,2,Neutral
1,6207981ff1ffd716fe69d9bd,ORD371930,ID6231506306,2019-06-29,Nickolson,"('Alcon 10', 2)",26540,76.53,-37.8248015,144.9690242,0,26616.53,Winter,True,0.6924,ok ok,True,"{'type': 'Point', 'coordinates': [144.9690242, -37.8248015]}",Alcon 10,2,Neutral
1,6207981ff1ffd716fe69d9bd,ORD371930,ID6231506306,2019-06-29,Nickolson,"('Toshika 750', 2)",26540,76.53,-37.8248015,144.9690242,0,26616.53,Winter,True,0.6924,ok ok,True,"{'type': 'Point', 'coordinates': [144.9690242, -37.8248015]}",Toshika 750,2,Neutral
2,6207981ff1ffd716fe69d9db,ORD228614,ID0298045612,2019-10-10,Nickolson,"('Alcon 10', 2)",25760,99.42,-37.8228607,144.9665714,0,25859.42,Spring,True,0.5423,good great product,True,"{'type': 'Point', 'coordinates': [144.9665714, -37.8228607]}",Alcon 10,2,Good
2,6207981ff1ffd716fe69d9db,ORD228614,ID0298045612,2019-10-10,Nickolson,"('Lucent 330S', 1)",25760,99.42,-37.8228607,144.9665714,0,25859.42,Spring,True,0.5423,good great product,True,"{'type': 'Point', 'coordinates': [144.9665714, -37.8228607]}",Lucent 330S,1,Good
2,6207981ff1ffd716fe69d9db,ORD228614,ID0298045612,2019-10-10,Nickolson,"('iAssist Line', 2)",25760,99.42,-37.8228607,144.9665714,0,25859.42,Spring,True,0.5423,good great product,True,"{'type': 'Point', 'coordinates': [144.9665714, -37.8228607]}",iAssist Line,2,Good
2,6207981ff1ffd716fe69d9db,ORD228614,ID0298045612,2019-10-10,Nickolson,"('Thunder line', 1)",25760,99.42,-37.8228607,144.9665714,0,25859.42,Spring,True,0.5423,good great product,True,"{'type': 'Point', 'coordinates': [144.9665714, -37.8228607]}",Thunder line,1,Good
3,6207981ff1ffd716fe69db24,ORD366469,ID0846567658,2019-01-28,Nickolson,"('Universe Note', 1)",5910,74.5,-37.8233768,144.969933,15,5098.0,Summer,True,0.5334,i've bought 3 only the first one works messaging doesn't send or receive pictures. won't connect through usb to download pictures. won't let me set up a voicemail.,False,"{'type': 'Point', 'coordinates': [144.969933, -37.8233768]}",Universe Note,1,Neutral
3,6207981ff1ffd716fe69db24,ORD366469,ID0846567658,2019-01-28,Nickolson,"('Lucent 330S', 2)",5910,74.5,-37.8233768,144.969933,15,5098.0,Summer,True,0.5334,i've bought 3 only the first one works messaging doesn't send or receive pictures. won't connect through usb to download pictures. won't let me set up a voicemail.,False,"{'type': 'Point', 'coordinates': [144.969933, -37.8233768]}",Lucent 330S,2,Neutral
4,6207981ff1ffd716fe69dad0,ORD246022,ID0662736521,2019-12-19,Nickolson,"('Universe Note', 1)",13630,70.38,-37.8245985,144.9698135,0,13700.38,Summer,False,0.6687,"excellent phone with the best os it is the best phone, i've been using one for the past 6 months. well thought out interface, fluid and smooth. got myself a 8gb sd and exapanded the storage as well.",True,"{'type': 'Point', 'coordinates': [144.9698135, -37.8245985]}",Universe Note,1,Good
4,6207981ff1ffd716fe69dad0,ORD246022,ID0662736521,2019-12-19,Nickolson,"('Lucent 330S', 1)",13630,70.38,-37.8245985,144.9698135,0,13700.38,Summer,False,0.6687,"excellent phone with the best os it is the best phone, i've been using one for the past 6 months. well thought out interface, fluid and smooth. got myself a 8gb sd and exapanded the storage as well.",True,"{'type': 'Point', 'coordinates': [144.9698135, -37.8245985]}",Lucent 330S,1,Good
4,6207981ff1ffd716fe69dad0,ORD246022,ID0662736521,2019-12-19,Nickolson,"('Alcon 10', 1)",13630,70.38,-37.8245985,144.9698135,0,13700.38,Summer,False,0.6687,"excellent phone with the best os it is the best phone, i've been using one for the past 6 months. well thought out interface, fluid and smooth. got myself a 8gb sd and exapanded the storage as well.",True,"{'type': 'Point', 'coordinates': [144.9698135, -37.8245985]}",Alcon 10,1,Good
5,6207981ff1ffd716fe69d9f9,ORD075963,ID0579408070,2019-06-17,Nickolson,"('Olivia x460', 2)",5210,62.58,-37.8219224,144.9685203,25,3970.08,Winter,False,0.3813,i love it. my little girl needed it i love it . my little girl needed it . no more facebook . plus it came on time . thanks,True,"{'type': 'Point', 'coordinates': [144.9685203, -37.8219224]}",Olivia x460,2,Neutral
5,6207981ff1ffd716fe69d9f9,ORD075963,ID0579408070,2019-06-17,Nickolson,"('Lucent 330S', 2)",5210,62.58,-37.8219224,144.9685203,25,3970.08,Winter,False,0.3813,i love it. my little girl needed it i love it . my little girl needed it . no more facebook . plus it came on time . thanks,True,"{'type': 'Point', 'coordinates': [144.9685203, -37.8219224]}",Lucent 330S,2,Neutral
5,6207981ff1ffd716fe69d9f9,ORD075963,ID0579408070,2019-06-17,Nickolson,"('iStream', 2)",5210,62.58,-37.8219224,144.9685203,25,3970.08,Winter,False,0.3813,i love it. my little girl needed it i love it . my little girl needed it . no more facebook . plus it came on time . thanks,True,"{'type': 'Point', 'coordinates': [144.9685203, -37.8219224]}",iStream,2,Neutral
6,6207981ff1ffd716fe69da6d,ORD089966,ID0243097196,2019-09-07,Nickolson,"('Toshika 750', 1)",26625,98.37,-37.8215382,144.9671453,5,25392.12,Spring,True,0.39,love it i like it,True,"{'type': 'Point', 'coordinates': [144.9671453, -37.8215382]}",Toshika 750,1,Neutral
6,6207981ff1ffd716fe69da6d,ORD089966,ID0243097196,2019-09-07,Nickolson,"('iAssist Line', 1)",26625,98.37,-37.8215382,144.9671453,5,25392.12,Spring,True,0.39,love it i like it,True,"{'type': 'Point', 'coordinates': [144.9671453, -37.8215382]}",iAssist Line,1,Neutral
