order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD182494,ID6197211592,2019-06-22,Thompson,"[('Lucent 330S', 1), ('Thunder line', 2), ('iStream', 2), ('pearTV', 1)]",12200,79.89,-37.8151052,144.9328434,10,11059.89,Winter,True,1.28,"perfect phone and trusted seller. phone itself is amazing. i got this phone as shown here on the description. it came in with original packaging including all original accessories. yes this phone is unlocked, so no doubt about it.",True
ORD395518,ID0282825849,2019-12-29,Thompson,"[('Thunder line', 1), ('Universe Note', 2)]",9080,62.71,-37.8027362,144.9511178,0,9142.71,Summer,False,1.1621,"it keeps dropping calls the wifi don't work this is a waste of money this phone is worthless, it keeps dropping calls the wifi don't work this is a waste of money",False
ORD494479,ID0579391891,2019-03-02,Nickolson,"[('Thunder line', 1), ('pearTV', 2)]",10670,65.87,-37.8213016,144.9575809,10,9668.87,Autumn,False,1.0949,five stars this is a great cheap phone.,True
ORD019224,ID4544561904,2019-01-12,Nickolson,"[('Universe Note', 1), ('Alcon 10', 2), ('Olivia x460', 1), ('iAssist Line', 1)]",24800,57.61,-37.8114157,144.9730729,15,21137.61,Summer,False,0.8571,charger did not fit the charger didn't fit.,False
ORD104032,ID6231506320,2019-11-28,Nickolson,"[('Universe Note', 1), ('Olivia x460', 1), ('iStream', 1), ('Toshika 750', 1)]",9145,75.54,37.8238586,144.9698923,25,6934.29,Spring,False,0.5867,four stars good,True
ORD146760,ID0311654900,2019-09-16,Bakers,"[('Thunder line', 2), ('Universe Note', 1)]",7810,71.22,37.8202452,145.0149442,10,7100.22,Spring,False,2.0752,stolen phone sold us a stolen phone so we couldn't activate it. we ended up returning it and just purchasing a new one through our phone plan.,False
ORD337984,ID3394768956,2019-09-14,Thompson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",13700,74.84,-37.8077429,144.9515704,5,13089.84,Spring,False,0.6767,"love our inferno stick,easy to set up and have loads of shows for free and plenty to rent or buy.we also use pluto tv and tubi so that's even more tv.iassist makes it so easy to find any show or movie i want.we love the money we save.",True
ORD072312,ID0774517121,2019-05-23,Thompson,"[('Universe Note', 1), ('Thunder line', 2), ('iStream', 1)]",7960,52.28,-37.8063372,144.9595445,5,10789.79,Autumn,False,1.3043,it sucks mine came with dead pixels,False
ORD377837,ID4769265355,2019-10-09,Bakers,"[('Alcon 10', 2), ('Thunder line', 1), ('Candle Inferno', 2), ('iAssist Line', 2)]",25390,107.58,-37.8108099,145.0140735,10,22958.58,Spring,True,1.6595,this is how top phone should look like! super fast phone. overall no single issue found. or at last i did not consider. works flawless. super slim design is amazing. screen color and brightness tuned perfectly. best phone for sure,True
ORD462194,ID5301568579,2019-03-21,Thompson,"[('Universe Note', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",13320,62.26,-37.808675,144.9423368,15,11384.26,winter,True,0.6093,does not live up to its reputation. customer service at olivia is the worst. phone is horrible. do not buy this phone. the touch response is bad. customer service is horrible at olivia stay away.,False
ORD034800,ID4283908179,2019-08-03,Bakers,"[('Alcon 10', 2), ('pearTV', 2), ('iStream', 1), ('Olivia x460', 1)]",31895,78.25,-37.8113336,145.0086784,0,31973.25,Winter,True,1.1919,i love this phone it is so user friendly and the battery life is amazing.,True
ORD361636,ID0589500304,2019-12-05,Nickolson,"[('Lucent 330S', 1), ('pearTV', 2)]",13850,77.29,-37.8202279,144.9574109,25,10464.79,Summer,False,1.0829,great phone great deal! phone in fantastic condition 3 months already..knock on wood,True
ORD124395,ID0702352304,2019-02-11,Thompson,"[('Alcon 10', 1), ('Universe Note', 1), ('pearTV', 1), ('iStream', 2)]",19010,94.75,-37.8054326,144.9413327,0,926057.25,Summer,True,0.9509,"the cult's alive i love this little dummy-phone. the standby time's bananas! the handling's fantastic, even though the software could be more intuitive. but it's made to do 2 things: make/take phone calls and texts. and for that it works perfect!",True
ORD255642,ID3085953531,2019-12-24,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 1), ('pearTV', 1)]",19710,75.64,-37.8161657,144.9752775,0,19785.64,Summer,True,0.5716,"phone had a problem phone seemed great but constantly had a message about service provider update after inserting sim card, which rendered the phone useless. spent several hours trying to figure out the problem and called olivia, cricket, sprint but nobody could help.",False
ORD496722,ID0589449820,2019-04-09,Nickolson,"[('pearTV', 2), ('iStream', 1), ('Lucent 330S', 1), ('Alcon 10', 2)]",31900,79.78,-37.8094626,144.9723672,0,31979.78,Autumn,True,66.6483,"five stars good speed, like stanley",True
ORD449130,ID0356449717,2019-05-17,Bakers,"[('Toshika 750', 2), ('Alcon 10', 1), ('Thunder line', 1), ('Candle Inferno', 1)]",20200,46.35,-37.8081254,144.9867964,25,15196.35,Autumn,False,0.7706,junk that what receive in the mail .,False
ORD036056,ID0767733196,2019-08-10,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Lucent 330S', 1), ('Thunder line', 1)]",14810,80.69,-37.8042307,144.9717294,25,11188.19,Winter,True,1.6104,love it i am in love with my phone. 😍📱,True
ORD428910,ID2180614753,2019-07-15,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 1)]",1655,63.27,-37.8141139,144.9714122,25,1304.52,Winter,False,0.525,nice phone worked great on straight talk. been a durable phone,True
ORD007249,ID0767586831,2019-02-24,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 2), ('Olivia x460', 1)]",6535,60.64,-37.8091799,144.9728744,5,6268.89,Summer,False,1.088,one star the phone does not work since i received it.,False
ORD232940,ID2020835025,2019-01-04,Nickolson,"[('iAssist Line', 1), ('Toshika 750', 1)]",6545,77.11,-37.8149171,144.9680205,5,6294.86,Summer,True,61.2935,tablet had trouble from the begging it kept restarting and rebooting i had to return it.,False
ORD178590,ID6167441029,2019-11-20,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",13710,77.61,-37.809311,145.0185951,0,13787.61,Spring,False,1.2791,love it. perfect. the battery life is at 94% which is awesome for a refurbished phone.,True
ORD157688,ID1404219802,2019-12-15,Bakers,"[('Candle Inferno', 1), ('Toshika 750', 1)]",4750,73.05,-37.8028178,144.992404,0,4823.05,winter,False,0.8369,None,True
ORD314979,ID2187972536,2019-09-17,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 2), ('iStream', 1), ('Universe Note', 1)]",22730,63.51,-37.8095956,144.9638143,25,17111.01,Spring,False,1.1216,just missed the 30 day warranty it stopped working after 1 month of use very light use at that. didn't turn back on. buyer beware make sure you get the phone checked by pros to see if there is something wrong with it,False
ORD339672,ID0129952519,2019-10-07,Bakers,"[('Olivia x460', 1), ('iAssist Line', 2)]",5675,73.03,-37.8069808,144.9942382,5,5464.28,Spring,False,0.3468,"i think that the digico candle tablet was a great purchase for my teenage daughter and grandson, very easy to operate. it kept them entertained for hours while we were traveling on the train for vacation.",True
ORD239838,ID1888086809,2019-04-07,Thompson,"[('Universe Note', 2), ('Toshika 750', 1), ('pearTV', 1), ('Candle Inferno', 2)]",18390,68.69,-37.7995959,144.9605411,5,17539.19,Autumn,False,1.877,"i love it, wife hates it.",True
ORD340641,ID3130999251,2019-11-19,Bakers,"[('Candle Inferno', 1), ('Thunder line', 1), ('iStream', 2)]",2910,91.48,-37.813288,145.0104152,25,2273.98,Spring,True,1.3846,"not gsm unlocked this device is not gsm unlocked. i got the phone and tried to use my sim card and it is locked only for verizon. so disappointed in the seller for advertising it as such. tried an at&t, and t-mobile sim, and neither will work. needless to say, i am immediately returning it.",False
ORD330543,ID0282854607,2019-01-05,Bakers,"[('pearTV', 2), ('Lucent 330S', 1), ('Toshika 750', 2)]",22490,105.04,-37.802871,145.0166333,10,20346.04,Summer,True,2.0425,"more options where's the different option for color/ storage also the pro version. also wasn't the phone supposed to be 150$ not 200. there's no where i can see on the official site, cost about double in other sites also need more capatable phone carrier brands",True
