,order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
165,ORD153030,ID0310729984,2019-05-02,Thompson,"[('Olivia x460', 2), ('pearTV', 1), ('Universe Note', 2)]",15660,78.02,-37.8127256,144.9402147,10,14172.02,Autumn,True,0.6028,strong great phone.takes lots of abuse and keeps working.,True
166,ORD234851,ID0547586405,2019-06-25,Bakers,"[('Lucent 330S', 2), ('pearTV', 1)]",8770,65.06,-37.8135169,144.9855861,15,7519.56,Winter,False,0.9345,great product live it,True
167,ORD179719,ID3115867881,2019-09-23,Nickolson,"[('iAssist Line', 2), ('iStream', 2), ('Lucent 330S', 1), ('Thunder line', 1)]",8160,102.89,-37.8138985,144.9617555,15,7038.89,Spring,True,0.8621,good value for money nice cheap will all basic smartphone features,True
168,ORD317333,ID6167413278,04/20/2019,Nickolson,"[('Toshika 750', 2), ('Lucent 330S', 2)]",11100,80.48,-37.8157863,144.9582671,10,10070.48,Autumn,True,1.0404,"i even like the color. dreary pinkish, purpley grey. yum note 8 unlocked by olivia is the way to go. i will never take a bite of pear again...",True
169,ORD190038,ID3144850933,2019-09-12,Bakers,"[('Universe Note', 2), ('Toshika 750', 1), ('iStream', 2)]",11520,101.84,-37.8155823,144.9867456,0,11621.84,Spring,True,0.5136,"different...not better, but different. bought this to replace my old olivia. it works fine, except for out in the country. apparently, the frequencies used are different. but it works well.",True
170,ORD347364,ID0624924254,2019-12-19,thompson,"[('pearTV', 1), ('Olivia x460', 2), ('Lucent 330S', 2), ('Toshika 750', 2)]",19860,76.79,-37.8198852,144.9577337,10,17950.79,Summer,False,1.049,works fine for what it is this phone is basic. works fine for what it is.,True
171,ORD210087,ID6212705501,2019-09-03,Nickolson,"[('iStream', 1), ('Candle Inferno', 2)]",1010,103.41,-37.808701,144.9729558,15,961.91,Spring,True,1.1413,"five stars great phone, good value.",True
172,ORD178601,ID2455223905,2019-07-09,Nickolson,"[('Universe Note', 1), ('Lucent 330S', 1)]",4680,64.19,-37.8113458,144.9669715,10,4276.19,Winter,False,0.8382,this was a very good deal for this upgrade of alcon!!! i like the upgrade and now have 256gb of space too!!!,True
173,ORD036597,ID1496246606,2019-09-25,Nickolson,"[('Thunder line', 2), ('Candle Inferno', 2), ('Universe Note', 1)]",8670,82.93,-37.8271233,144.9851161,0,8752.93,Spring,False,1.6657,one of the best for the price fast and snappy great build quality,True
174,ORD252775,ID0572037071,2019-08-09,Thompson,"[('iAssist Line', 1), ('Toshika 750', 1)]",6545,77.52,-37.8064367,144.9520099,15,5640.77,Winter,True,0.819,great deal works great. actually a verizon phone,True
175,ORD316807,ID0266737792,2019-08-03,Bakers,"[('Candle Inferno', 2), ('iAssist Line', 1)]",3085,77.6,-37.8235366,144.9808725,5,3008.35,Winter,True,1.1374,"much better phone than the 6s! so far, i am very happy with this phone! the battery life is double of the 6s and since it was unlocked, i just switched the sim cards and transferred everything from one phone to the other in minutes, fantastic!",True
176,ORD354341,ID0589425753,2019-02-12,Nickolson,"[('Olivia x460', 1), ('Thunder line', 1)]",3405,59.2,-37.8094704,144.9727182,5,3293.95,Summer,False,1.0532,junk won't keep battery charge takes forever to charge,False
177,ORD328132,ID3036576351,2019-07-29,Bakers,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Olivia x460', 2), ('Thunder line', 2)]",15880,65.07,-37.806973,145.0055785,25,11975.07,Winter,False,0.9702,two thumbs up i love this olivia phone!,True
178,ORD215775,ID6167441063,2019-07-05,Bakers,"[('Olivia x460', 1), ('Candle Inferno', 2)]",2085,75.12,-37.8141653,144.9632906,0,2160.12,Winter,True,0.7391,"great little device great little device! feels faster than 3 gigs of ram and a mid range processor, easily flies thru tasks as much as any flagship i've ever used! great purchase!",True
179,ORD372277,ID0581782794,2019-07-25,Thompson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('iStream', 2), ('Thunder line', 2)]",7550,65.44,-37.807684,144.9400828,15,6482.94,Winter,False,0.8282,great phone this is a great product.,True
180,ORD226807,ID0250480602,2019-01-13,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Candle Inferno', 2), ('iStream', 2)]",8070,73.19,-37.0449963,145.0058842,0,8143.19,Summer,False,0.9594,breakdown of price is necessary the device doesn’t support lte plus poor housing box it arrived in. other things works fine. breakdown of the price is necessary for what i received 🤕,True
181,ORD498590,ID3146808064,2019-06-01,Bakers,"[('iAssist Line', 2), ('Thunder line', 1)]",6630,67.0,-37.814102,144.984733,25,5039.5,Winter,False,1.0303,notes are awesome love it even though i sure do miss my note 7 ;-(,True
182,ORD008127,ID1224821946,2019-09-17,Thompson,"[('Olivia x460', 2), ('Toshika 750', 1)]",6770,77.13,-37.8130127,144.9389462,5,6508.63,Spring,False,0.254,"freaking awesome amazing! nothing but good reviews here. love it, it does everything i expected it to do.my life rite here....my precious.",True
