,ID,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,MARRIED,CHILDREN,INCOME,POSTAL_CODE
0,569520,female,majority,0-9y,high school,0.0,1.0,upper class,10238
1,750365,male,majority,0-9y,none,0.0,0.0,poverty,10238
2,199901,female,majority,0-9y,high school,0.0,0.0,working class,10238
3,478866,male,majority,0-9y,university,0.0,1.0,working class,32765
4,731664,male,majority,10-19y,none,0.0,0.0,working class,32765
5,877557,female,majority,20-29y,high school,0.0,1.0,upper class,10238
6,930134,male,majority,30y+,high school,1.0,1.0,upper class,10238
7,461006,female,majority,0-9y,university,0.0,1.0,working class,10238
8,68366,female,majority,20-29y,university,1.0,0.0,working class,10238
9,445911,female,majority,0-9y,high school,0.0,1.0,upper class,32765
10,275820,male,majority,30y+,high school,1.0,1.0,upper class,10238
11,521399,female,majority,30y+,high school,1.0,0.0,upper class,32765
12,429728,male,majority,20-29y,high school,1.0,1.0,upper class,10238
13,569640,female,majority,0-9y,university,0.0,1.0,upper class,10238
14,980181,male,majority,10-19y,high school,1.0,1.0,middle class,10238
15,906223,female,majority,0-9y,high school,1.0,0.0,upper class,10238
16,517747,male,majority,30y+,university,1.0,1.0,upper class,32765
17,24851,male,majority,0-9y,none,1.0,0.0,poverty,32765
18,104086,female,majority,0-9y,university,0.0,1.0,upper class,32765
19,240658,female,majority,0-9y,high school,0.0,1.0,working class,10238
20,484399,female,majority,0-9y,high school,0.0,0.0,working class,10238
21,912828,male,majority,0-9y,high school,1.0,1.0,middle class,32765
22,892754,male,majority,20-29y,none,1.0,1.0,poverty,10238
23,217,male,majority,0-9y,none,0.0,0.0,poverty,10238
24,633896,male,majority,30y+,high school,1.0,1.0,upper class,32765
25,193110,female,majority,10-19y,university,1.0,0.0,middle class,10238
26,98515,male,majority,10-19y,high school,0.0,0.0,middle class,10238
27,165623,male,majority,10-19y,none,1.0,0.0,poverty,10238
28,493590,male,majority,10-19y,university,0.0,0.0,middle class,10238
29,389792,male,majority,0-9y,university,1.0,1.0,upper class,32765
30,642614,male,majority,20-29y,high school,1.0,1.0,middle class,92101
31,951465,female,majority,30y+,university,1.0,1.0,upper class,10238
32,496987,male,majority,0-9y,none,1.0,1.0,poverty,10238
33,732437,male,majority,0-9y,none,0.0,1.0,poverty,32765
34,146897,female,majority,0-9y,high school,1.0,1.0,middle class,21217
35,316173,male,majority,0-9y,university,0.0,0.0,working class,32765
36,9013,male,majority,10-19y,high school,0.0,1.0,working class,10238
37,511757,female,majority,10-19y,none,1.0,1.0,middle class,10238
38,429947,male,majority,30y+,university,0.0,1.0,upper class,10238
39,485660,male,majority,10-19y,university,0.0,1.0,upper class,92101
40,80496,male,majority,30y+,high school,1.0,1.0,upper class,10238
41,478336,male,majority,20-29y,university,0.0,1.0,upper class,10238
42,10843,male,majority,20-29y,university,1.0,1.0,upper class,32765
43,397446,male,majority,0-9y,none,0.0,0.0,poverty,10238
44,101678,female,majority,10-19y,high school,0.0,1.0,poverty,10238
45,231661,male,majority,20-29y,high school,0.0,0.0,middle class,10238
46,173782,male,majority,20-29y,high school,1.0,1.0,upper class,10238
47,921097,female,majority,20-29y,university,1.0,1.0,upper class,92101
48,98839,female,minority,10-19y,university,0.0,1.0,working class,32765
49,105372,female,minority,10-19y,none,0.0,1.0,working class,10238
50,888828,male,majority,20-29y,university,1.0,0.0,upper class,10238
51,37454,female,majority,0-9y,high school,0.0,0.0,working class,10238
52,370044,male,majority,20-29y,university,1.0,1.0,upper class,32765
53,768282,female,majority,0-9y,university,1.0,1.0,working class,10238
54,738729,female,majority,0-9y,none,1.0,1.0,working class,10238
55,437535,female,majority,10-19y,high school,1.0,0.0,middle class,10238
56,329536,female,majority,0-9y,high school,0.0,0.0,poverty,32765
57,328531,female,majority,20-29y,university,0.0,1.0,middle class,32765
58,123941,female,majority,20-29y,university,1.0,1.0,middle class,10238
59,131881,male,majority,10-19y,university,0.0,0.0,working class,10238
60,839572,male,majority,20-29y,high school,1.0,1.0,working class,10238
61,171578,male,majority,10-19y,university,1.0,1.0,upper class,10238
62,589757,female,majority,20-29y,high school,1.0,1.0,upper class,92101
63,336859,female,majority,0-9y,university,0.0,1.0,middle class,10238
64,788111,female,minority,20-29y,high school,1.0,1.0,poverty,10238
65,407453,female,majority,0-9y,university,0.0,0.0,upper class,10238
66,367026,female,minority,10-19y,high school,1.0,1.0,working class,10238
67,334687,female,minority,0-9y,university,0.0,0.0,middle class,10238
68,623367,male,majority,20-29y,university,1.0,1.0,upper class,32765
69,688440,male,majority,10-19y,university,1.0,1.0,upper class,10238
70,547974,male,majority,20-29y,high school,1.0,1.0,upper class,10238
71,989064,male,majority,0-9y,none,1.0,1.0,poverty,10238
72,422816,male,majority,20-29y,high school,0.0,0.0,working class,10238
73,307408,female,minority,10-19y,none,0.0,1.0,working class,10238
74,675898,male,majority,0-9y,high school,0.0,1.0,middle class,10238
75,480452,female,majority,0-9y,university,1.0,1.0,upper class,10238
76,93199,female,majority,0-9y,university,1.0,1.0,middle class,10238
77,125802,female,majority,20-29y,university,1.0,1.0,upper class,10238
78,616663,male,majority,0-9y,university,0.0,0.0,upper class,10238
79,423497,female,majority,0-9y,high school,0.0,0.0,working class,10238
80,492837,female,majority,10-19y,university,1.0,1.0,upper class,10238
81,422563,male,majority,20-29y,university,0.0,1.0,upper class,10238
82,185231,female,majority,0-9y,high school,0.0,1.0,middle class,10238
83,949152,female,majority,10-19y,university,0.0,0.0,upper class,32765
84,859453,male,majority,10-19y,university,1.0,1.0,middle class,10238
85,466578,female,majority,10-19y,high school,0.0,1.0,middle class,10238
86,998214,female,minority,0-9y,none,0.0,0.0,poverty,10238
87,828462,male,majority,20-29y,high school,0.0,1.0,working class,10238
88,511837,male,majority,10-19y,high school,1.0,1.0,middle class,32765
89,554995,male,majority,0-9y,university,1.0,1.0,upper class,10238
90,680717,male,majority,30y+,none,1.0,1.0,middle class,10238
91,978021,male,majority,20-29y,university,1.0,1.0,upper class,10238
92,509815,female,majority,0-9y,high school,1.0,1.0,working class,32765
93,6676,female,majority,20-29y,high school,0.0,1.0,upper class,10238
94,362280,male,majority,10-19y,high school,0.0,0.0,working class,10238
95,883018,male,majority,0-9y,high school,0.0,1.0,working class,10238
96,889355,female,majority,10-19y,university,1.0,1.0,upper class,10238
97,198273,male,majority,20-29y,university,1.0,1.0,upper class,32765
98,197763,male,majority,20-29y,university,1.0,0.0,upper class,10238
