,ID,DUIS,PAST_ACCIDENTS,CREDIT_SCORE,ID_SEGURO
0,569520,0,0,0.629027313918201,6739391
1,750365,0,0,0.3577571170184627,2536595
2,199901,0,0,0.4931457852181982,9409608
3,478866,0,0,0.2060128507324556,7999444
4,731664,0,1,0.3883658881572184,7988694
5,877557,0,3,0.6191273725847388,7377950
6,930134,0,3,0.4929435502195342,5293637
7,461006,0,0,0.468689297434465,6051372
8,68366,0,0,0.5218149362971065,3647080
9,445911,0,0,0.5615310319383646,2768758
10,275820,2,7,0.6203612640126029,242156
11,521399,0,0,0.7298308815593941,8721760
12,429728,1,2,0.6370447435902447,2673975
13,569640,0,0,0.59125997174597,7960144
14,980181,2,1,0.4615679630439447,3090825
15,906223,0,0,0.7627979410816134,4711034
16,517747,2,1,0.7961748462456987,5945892
17,24851,0,0,,7340643
18,104086,0,0,0.6805942795073384,9467282
19,240658,0,0,0.4177139816231188,2385340
20,484399,0,0,0.4095135306516067,9474217
21,912828,0,0,0.5532600531952381,4620035
22,892754,1,1,0.3309502618581893,4632723
23,217,0,0,,4719409
24,633896,2,3,0.5006306604427161,6384102
25,193110,0,0,0.5519701813636283,4393851
26,98515,1,0,0.6269960497386653,8314109
27,165623,0,1,0.2947974807719967,8542582
28,493590,0,1,0.5519504952618395,8298216
29,389792,0,0,0.649820471216227,3241706
30,642614,0,1,0.5218044346397632,7124688
31,951465,1,1,0.7012683240604196,47654
32,496987,0,0,0.1712440288213211,1926701
33,732437,0,0,0.3184419972124171,1698818
34,146897,0,0,0.6046842696715551,3626950
35,316173,0,0,0.5049948526440377,401505
36,9013,0,2,0.6251466352816216,6594815
37,511757,0,1,,3699766
38,429947,0,5,,7752355
39,485660,0,1,0.5781305873212035,496299
40,80496,1,3,0.7054542902137054,6005590
41,478336,0,2,0.6595254905875941,511777
42,10843,2,0,0.5873836120460223,7726679
43,397446,0,0,0.4064824253974476,4404552
44,101678,0,0,0.2857471319596469,9373643
45,231661,0,4,0.5022849652731057,5782538
46,173782,0,5,0.6256257210210231,8357151
47,921097,0,2,,336151
48,98839,0,0,0.3931531299744003,7457424
49,105372,0,0,0.5039497598168121,8355408
50,888828,0,2,0.6586274302571438,6671632
51,37454,0,0,0.5241464657501199,4037985
52,370044,0,1,0.5531007570628673,1895559
53,768282,0,0,0.4475509489142775,8841337
54,738729,0,0,0.5107331365064207,3798078
55,437535,0,0,,4635024
56,329536,0,0,0.4613735917269193,9167592
57,328531,0,1,0.3875569443647317,576701
58,123941,0,0,0.5701572256616224,8975193
59,131881,1,0,0.5501250875743224,2929174
60,839572,0,1,0.4529442316093683,5040573
61,171578,0,1,,4759590
62,589757,0,0,0.5352743096602144,4971668
63,336859,0,0,0.6147359485632915,6602073
64,788111,0,1,0.4544471564329259,5485677
65,407453,0,0,0.6137409183819416,985705
66,367026,0,0,0.5326613280250595,5270049
67,334687,0,0,0.4277285143019345,6719400
68,623367,1,4,0.6859457213719147,9627589
69,688440,0,0,0.6936124267187082,1025137
70,547974,1,7,0.5979905963582334,5573050
71,989064,0,0,0.3308186664986927,1066046
72,422816,0,7,,2600964
73,307408,0,0,,7099958
74,675898,0,0,0.5083042183803546,3228135
