,VEHICLE_OWNERSHIP,VEHICLE_YEAR,ID_VEHICULO,ID
0,1.0,after 2015,BZ1WE0LF2U,569520
1,0.0,before 2015,78GJYCA4LI,750365
2,1.0,before 2015,TG2JSADVLY,199901
3,1.0,before 2015,DB1O2IYHP4,478866
4,1.0,before 2015,RIZYYIZNVG,731664
5,1.0,after 2015,NM7WO3ROM4,877557
6,0.0,after 2015,JBUKB7NLWP,930134
7,0.0,after 2015,ZYY25JO5OC,461006
8,0.0,before 2015,KCAE7XBNW9,68366
9,1.0,before 2015,PPNJKZYSWP,445911
10,1.0,after 2015,3I11JGQ4RH,275820
11,1.0,after 2015,OGNEKJYLCC,521399
12,1.0,before 2015,5AS0DNRT7O,429728
13,1.0,before 2015,I1WVDOKNC7,569640
14,1.0,before 2015,74Q6ANJPDI,980181
15,0.0,after 2015,PVJE5GWCFJ,906223
16,1.0,before 2015,7MMLJ5ITOZ,517747
17,0.0,before 2015,LNPJQO45MR,24851
18,1.0,before 2015,9ZX6IQP7ZN,104086
19,1.0,before 2015,BVJ6Y4ZH69,240658
20,0.0,before 2015,952KURWHND,484399
21,1.0,after 2015,PMM8MRMUN5,912828
22,1.0,before 2015,CTX4EYY3XE,892754
23,0.0,before 2015,TZKPY4ZAUR,217
24,1.0,before 2015,FNDPYFA6G6,633896
25,1.0,before 2015,51S2X1DLY0,193110
26,1.0,before 2015,P6BIMLUCJ3,98515
27,1.0,before 2015,14JCX5OLXS,165623
28,0.0,after 2015,8WZVEJ7RWI,493590
29,1.0,after 2015,T2R2B69T8T,389792
30,1.0,after 2015,36XR0P2DQ1,642614
31,1.0,before 2015,VXT5W95NIA,951465
32,1.0,before 2015,T8F0PVO1DT,496987
33,1.0,before 2015,0QPKZ0YHEZ,732437
34,1.0,before 2015,S1O0XKCLLH,146897
35,0.0,after 2015,IX41PDCZ2W,316173
36,1.0,before 2015,J4G5I3FEB9,9013
37,1.0,before 2015,ORI3JSZLGV,511757
38,0.0,after 2015,VBAGJ12WES,429947
39,1.0,before 2015,QGLB3M39PS,485660
40,1.0,before 2015,E7R62BESVC,80496
41,1.0,after 2015,7K1RYC2E8B,478336
42,0.0,after 2015,4WMSSRQA99,10843
43,0.0,before 2015,ZFCST09BG2,397446
44,0.0,before 2015,5OO81RSC9S,101678
45,0.0,before 2015,JQNHIWQ8HF,231661
46,1.0,after 2015,1SXQCV5RXZ,173782
47,1.0,after 2015,49N73NOC6H,921097
48,1.0,before 2015,HU2AKU4CDS,98839
49,0.0,before 2015,GKBEA0ZM9E,105372
50,1.0,before 2015,U8T0U5UWP3,888828
51,0.0,before 2015,RNAGZEPG57,37454
52,0.0,after 2015,T2XAN4O19R,370044
53,0.0,before 2015,VTTUOKYIY4,768282
54,1.0,before 2015,R1N6030WD6,738729
55,1.0,after 2015,W4E080FEXD,437535
56,0.0,before 2015,HKJE35OWPC,329536
57,0.0,after 2015,3L866JCQTA,328531
58,1.0,after 2015,5JB2HW0KY3,123941
59,1.0,before 2015,K3GTIR0VKW,131881
60,0.0,before 2015,VL7JA7Z3IP,839572
61,1.0,before 2015,ZFPSV5LBAU,171578
62,1.0,before 2015,P9WYN4E4LC,589757
63,1.0,before 2015,R6QXEOK7OS,336859
64,1.0,before 2015,9D8RSOPQMQ,788111
65,1.0,before 2015,2RUGLG0ZN4,407453
